Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6374e8592f19aaf650609825,5d1a69d8f97a18001977e0d7,APPROVED,2022-11-16T13:41:28.849000Z,2022-11-16T14:01:13.888000Z,2022-11-16T14:01:14.357000,2022-11-16T14:01:14.283076Z,1186,C17FQB5L,2227,Undergraduate degree (BA/BSc/other),English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6374e85ba3ad26ea94d636b0,60bb3b463887c2f9d1385cce,APPROVED,2022-11-16T13:40:43.252000Z,2022-11-16T13:48:38.216000Z,2022-11-16T13:48:38.661000,2022-11-16T13:48:38.585966Z,475,C17FQB5L,1177,Technical/community college,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6374e85e9cc8a0f12c2a5432,5f836c9938d2da4fb75631ef,APPROVED,2022-11-16T13:40:54.618000Z,2022-11-16T13:56:41.081000Z,2022-11-16T13:56:41.538000,2022-11-16T13:56:41.472446Z,947,C17FQB5L,739,Graduate degree (MA/MSc/MPhil/other),English,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6374e85ec2e96dd62784c6ed,5dcff5909595a10f6241c0f6,APPROVED,2022-11-16T13:41:50.110000Z,2022-11-16T14:02:48.441000Z,2022-11-16T14:02:48.981000,2022-11-16T14:02:48.906139Z,1259,C17FQB5L,728,Graduate degree (MA/MSc/MPhil/other),English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6374e85fa0ad1e0fc00f57d3,5d9ca4eff93dba0013e68c11,APPROVED,2022-11-16T13:40:47.685000Z,2022-11-16T14:06:55.655000Z,2022-11-16T14:06:56.301000,2022-11-16T14:06:56.236386Z,1568,C17FQB5L,1018,Graduate degree (MA/MSc/MPhil/other),"English, Hebrew, Russian, Ukrainian",43,Male,White,Ukraine,United Kingdom,Ukraine,Russian,Yes,Part-Time
6374e860183a60114c2a5452,5b82d4fda284bc000193094c,AWAITING REVIEW,2022-11-16T13:40:50.178000Z,2022-11-16T15:06:59.409000Z,,2022-11-16T15:07:00.084000Z,5170,C17FQB5L,1381,Graduate degree (MA/MSc/MPhil/other),English,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6374e860ce05dd53156097cc,5e1ae38b2d11243260af4066,APPROVED,2022-11-16T13:41:21.733000Z,2022-11-16T13:55:19.003000Z,2022-11-16T13:55:19.505000,2022-11-16T13:55:19.430752Z,838,C17FQB5L,98,High school diploma/A-levels,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6374e8620dffea8454718c3e,5f033543945c554f816f6ad7,APPROVED,2022-11-16T13:43:15.230000Z,2022-11-16T14:10:31.702000Z,2022-11-16T14:10:33.233000,2022-11-16T14:10:33.166654Z,1637,C17FQB5L,822,Undergraduate degree (BA/BSc/other),"English, Chinese, Malay, Mandarin, Cantonese",48,Female,Asian,DATA_EXPIRED,United Kingdom,DATA_EXPIRED,English,No,Part-Time
6374e86315645ad10d3158f4,5eb0efc1e873f11a7a90daec,APPROVED,2022-11-16T13:40:55.580000Z,2022-11-16T13:47:43.556000Z,2022-11-16T13:47:44.011000,2022-11-16T13:47:43.937718Z,408,C17FQB5L,163,High school diploma/A-levels,"English, French, Italian, Spanish",22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6374e863836358a0019d4f5f,5d2b45b9f7ef930001c5fa2d,APPROVED,2022-11-16T13:41:38.307000Z,2022-11-16T14:12:03.013000Z,2022-11-16T14:12:04.355000,2022-11-16T14:12:04.281306Z,1825,C17FQB5L,1513,Graduate degree (MA/MSc/MPhil/other),English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6374e864c95f125435ee4daa,5cf66ed8912f0b0017c50b52,APPROVED,2022-11-16T13:40:57.115000Z,2022-11-16T13:55:08.724000Z,2022-11-16T13:55:09.115000,2022-11-16T13:55:09.042862Z,852,C17FQB5L,46,Graduate degree (MA/MSc/MPhil/other),English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6374e864d03510e52872e6cc,5d41d708128a05000183c461,APPROVED,2022-11-16T13:40:52.626000Z,2022-11-16T13:52:19.922000Z,2022-11-16T13:52:20.370000,2022-11-16T13:52:20.295485Z,688,C17FQB5L,1228,Undergraduate degree (BA/BSc/other),English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6374e8701e005e730866fa73,5e724ae92575691840b8f8c9,APPROVED,2022-11-16T13:41:07.954000Z,2022-11-16T14:11:32.911000Z,2022-11-16T14:11:33.332000,2022-11-16T14:11:33.255994Z,1825,C17FQB5L,1131,Graduate degree (MA/MSc/MPhil/other),English,31,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
6374e8710ed593ff096097c2,5fba54733359979ab9a16056,APPROVED,2022-11-16T13:43:32.503000Z,2022-11-16T14:17:46.653000Z,2022-11-16T14:17:47.038000,2022-11-16T14:17:46.975781Z,2055,C17FQB5L,571,Undergraduate degree (BA/BSc/other),English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6374e87582bf350ec97a91fb,5fcfb1fe79b8060e0662270a,APPROVED,2022-11-16T13:41:13.868000Z,2022-11-16T14:04:03.675000Z,2022-11-16T14:04:04.294000,2022-11-16T14:04:04.216087Z,1370,C17FQB5L,738,High school diploma/A-levels,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
