Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638f5b2955b500e4751188d2,5780d9a1900cc80001d2d1c2,APPROVED,2022-12-06T15:09:40.148000Z,2022-12-06T15:34:25.970000Z,2022-12-06T15:34:26.913000Z,2022-12-06T15:34:27.269633Z,1486,C17FQB5L,2079,English,Doctorate degree (PhD/other),66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638f5b2c4e7955159485feac,5a6b2c0d9d65ec00017e715e,APPROVED,2022-12-06T15:09:35.162000Z,2022-12-06T15:22:21.606000Z,2022-12-06T15:22:22.316000,2022-12-06T15:22:22.255422Z,767,C17FQB5L,314,English,Undergraduate degree (BA/BSc/other),23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f5b2ce6aca471102babf8,5d921a2e34fc500016df8e5f,APPROVED,2022-12-06T15:09:32.664000Z,2022-12-06T15:35:37.522000Z,2022-12-06T15:35:38.751000,2022-12-06T15:35:38.679600Z,1565,C17FQB5L,859,"English, Polish",Graduate degree (MA/MSc/MPhil/other),40,Female,White,Poland,United Kingdom,Poland,Polish,No,Part-Time
638f5b2d08aa33b4075833cf,603c124974df2e8f9f375fa8,APPROVED,2022-12-06T15:13:58.367000Z,2022-12-06T15:34:30.739000Z,2022-12-06T15:34:31.227000,2022-12-06T15:34:31.165761Z,1233,C17FQB5L,1092,English,Undergraduate degree (BA/BSc/other),38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638f5b2da8bb835402198e2d,5d5a75c570a7c1000152623e,APPROVED,2022-12-06T15:10:01.626000Z,2022-12-06T15:29:47.656000Z,2022-12-06T15:29:49.115000,2022-12-06T15:29:49.054190Z,1187,C17FQB5L,1581,English,Doctorate degree (PhD/other),37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f5b3047d7e9307adbeced,5be1fe1eca095c0001ba077a,APPROVED,2022-12-06T15:09:46.828000Z,2022-12-06T15:29:59.148000Z,2022-12-06T15:30:00.188000,2022-12-06T15:30:00.126822Z,1213,C17FQB5L,779,"Russian, Finnish, Estonian, English",Technical/community college,52,Female,White,Estonia,United Kingdom,Estonia,English,DATA_EXPIRED,Full-Time
638f5b3255b500e4751188d6,5f8ef8e63fdd230d00f5d0e4,APPROVED,2022-12-06T15:09:46.468000Z,2022-12-06T15:25:46.154000Z,2022-12-06T15:25:48.779000,2022-12-06T15:25:46.952925Z,960,C17FQB5L,461,English,Undergraduate degree (BA/BSc/other),48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f5b34391a408f2e22a66d,5fb4661ad97d9a1668f07086,APPROVED,2022-12-06T15:09:40.565000Z,2022-12-06T15:30:10.900000Z,2022-12-06T15:30:11.406000,2022-12-06T15:30:11.347796Z,1231,C17FQB5L,1032,English,Undergraduate degree (BA/BSc/other),39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f5b34b8ae848fe25a17c7,60bceb1dcefc0afe67041489,APPROVED,2022-12-06T15:09:45.701000Z,2022-12-06T15:37:32.485000Z,2022-12-06T15:37:32.934000,2022-12-06T15:37:32.878695Z,1667,C17FQB5L,779,English,Graduate degree (MA/MSc/MPhil/other),48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f5b3548fc67be69d5bf87,612cc22830e71399b7a86841,APPROVED,2022-12-06T15:09:51.748000Z,2022-12-06T15:33:14.821000Z,2022-12-06T15:33:15.239000,2022-12-06T15:33:15.174917Z,1404,C17FQB5L,475,English,High school diploma/A-levels,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638f5b3603f873c0cbd65ad0,5b5523d6d8348500012cfccf,APPROVED,2022-12-06T15:09:49.342000Z,2022-12-06T15:35:05.049000Z,2022-12-06T15:35:05.508000,2022-12-06T15:35:05.445620Z,1516,C17FQB5L,726,English,High school diploma/A-levels,28,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
638f5b36f0b48db43785fe45,542c323bfdf99b324ea3808d,APPROVED,2022-12-06T15:09:42.582000Z,2022-12-06T15:23:40.910000Z,2022-12-06T15:23:41.712000,2022-12-06T15:23:41.653412Z,839,C17FQB5L,1655,"English, Spanish, French",Undergraduate degree (BA/BSc/other),50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
638f5b37e503905d4e10217b,5aae762bc4e8f200014b3f88,APPROVED,2022-12-06T15:09:53.116000Z,2022-12-06T15:27:41.715000Z,2022-12-06T15:27:42.260000,2022-12-06T15:27:42.199358Z,1069,C17FQB5L,160,"Italian, English, German",Graduate degree (MA/MSc/MPhil/other),34,Female,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
638f5b3840b29fc71b1a1928,5d1c9d39ff67e3000140ca87,APPROVED,2022-12-06T15:09:44.008000Z,2022-12-06T15:28:33.589000Z,2022-12-06T15:28:33.980000,2022-12-06T15:28:33.923106Z,1130,C17FQB5L,1204,English,Technical/community college,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
638f5b38532b6b999d128aca,63483069e7c6931be7b56fe9,APPROVED,2022-12-06T15:09:44.750000Z,2022-12-06T15:24:02.522000Z,2022-12-06T15:24:02.989000,2022-12-06T15:24:02.898044Z,858,C17FQB5L,141,"Bengali, English",Undergraduate degree (BA/BSc/other),32,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f5b388fd34d3e0e8b035f,5a67676a35f26b000149689d,APPROVED,2022-12-06T15:09:44.634000Z,2022-12-06T15:25:48.071000Z,2022-12-06T15:25:54.282000,2022-12-06T15:25:49.091423Z,964,C17FQB5L,991,English,Graduate degree (MA/MSc/MPhil/other),28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f5b38c3b31c5b847a6110,61543eaa6278eff1d74aafc9,APPROVED,2022-12-06T15:09:48.089000Z,2022-12-06T15:31:00.933000Z,2022-12-06T15:31:01.607000,2022-12-06T15:31:01.543084Z,1273,C17FQB5L,52,English,High school diploma/A-levels,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
