Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639741679ae0f0aa366e1457,587d4ed4e4404c0001c9d1b9,APPROVED,2022-12-12T15:03:10.714000Z,2022-12-12T15:42:39.333000Z,2022-12-12T15:42:46.244000,2022-12-12T15:42:46.144822Z,2369,C17FQB5L,929,English,Graduate degree (MA/MSc/MPhil/other),40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6397416a65dc81145bd43a68,5fbf94f2891c55203896f7dc,APPROVED,2022-12-12T14:57:48.692000Z,2022-12-12T15:22:40.839000Z,2022-12-12T15:22:41.570000,2022-12-12T15:22:41.502951Z,1493,C17FQB5L,840,"English, Urdu",Graduate degree (MA/MSc/MPhil/other),43,Male,Asian,Pakistan,United Kingdom,United Kingdom,Urdu,No,Full-Time
6397416b41969187baca70ec,5ea180ae34f3aa0319313965,APPROVED,2022-12-12T14:57:58.595000Z,2022-12-12T16:14:43.451000Z,2022-12-12T16:14:44.252000,2022-12-12T16:14:44.159235Z,4605,C17FQB5L,453,English,Graduate degree (MA/MSc/MPhil/other),36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6397416ccd9502bc219fb5ea,62e17900c4ff2316a7297ce6,APPROVED,2022-12-12T14:57:55.480000Z,2022-12-12T15:17:04.720000Z,2022-12-12T15:17:05.205000,2022-12-12T15:17:05.132670Z,1150,C17FQB5L,260,English,Graduate degree (MA/MSc/MPhil/other),38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6397416da137414399414b7d,5b74411d95d7040001fed474,APPROVED,2022-12-12T14:57:57.429000Z,2022-12-12T15:17:21.460000Z,2022-12-12T15:17:21.959000,2022-12-12T15:17:21.885687Z,1165,C17FQB5L,706,English,Technical/community college,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6397416da55d1804112d9f07,5c408532e1443100010726e2,APPROVED,2022-12-12T14:57:49.149000Z,2022-12-12T15:15:16.725000Z,2022-12-12T15:15:17.152000,2022-12-12T15:15:17.082220Z,1048,C17FQB5L,1555,English,Undergraduate degree (BA/BSc/other),38,Male,Asian,Singapore,United Kingdom,Australia,English,Yes,Full-Time
63974171b2c703bba3141c5e,5de57a5b1017854f8a4efca3,APPROVED,2022-12-12T14:58:03.528000Z,2022-12-12T15:15:36.902000Z,2022-12-12T15:15:37.352000,2022-12-12T15:15:37.283558Z,1054,C17FQB5L,647,English,Undergraduate degree (BA/BSc/other),53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6397417200852b95c2fcb3e2,5c1575e62a407b0001ff2a4c,APPROVED,2022-12-12T14:59:20.654000Z,2022-12-12T15:17:40.604000Z,2022-12-12T15:17:41.104000,2022-12-12T15:17:41.020245Z,1100,C17FQB5L,1903,English,High school diploma/A-levels,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6397417259c0b96c8bb8a6a3,55c3b47dfdf99b52bdba86da,APPROVED,2022-12-12T14:58:02.307000Z,2022-12-12T15:16:15.846000Z,2022-12-12T15:16:18.989000,2022-12-12T15:16:18.919315Z,1094,C17FQB5L,314,English,Undergraduate degree (BA/BSc/other),23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6397417393512d1aa12f18d5,5edeea354d54cb1a825aa8f9,APPROVED,2022-12-12T14:57:55.752000Z,2022-12-12T15:20:03.036000Z,2022-12-12T15:20:03.652000,2022-12-12T15:20:03.594125Z,1328,C17FQB5L,1808,"English, Urdu, Punjabi",Graduate degree (MA/MSc/MPhil/other),45,Male,Asian,Pakistan,United Kingdom,United Kingdom,English,No,Full-Time
63974174e9a465c5db95da26,5e42c26bcea1861491e28258,APPROVED,2022-12-12T14:58:23.302000Z,2022-12-12T15:14:55.170000Z,2022-12-12T15:14:55.647000,2022-12-12T15:14:55.574061Z,992,C17FQB5L,1273,English,Technical/community college,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6397417598b1077219141c24,609140cea1442672dd2141d7,APPROVED,2022-12-12T14:58:01.300000Z,2022-12-12T15:17:49.713000Z,2022-12-12T15:17:50.249000,2022-12-12T15:17:50.188105Z,1189,C17FQB5L,664,English,Undergraduate degree (BA/BSc/other),45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63974175dc79ee648c87d2f2,5964e073241f8d0001065056,APPROVED,2022-12-12T14:57:57.291000Z,2022-12-12T15:20:42.822000Z,2022-12-12T15:20:43.357000,2022-12-12T15:20:43.284800Z,1366,C17FQB5L,1823,English,Undergraduate degree (BA/BSc/other),DATA_EXPIRED,Male,Asian,DATA_EXPIRED,United Kingdom,United Kingdom,English,No,Part-Time
639741767079eb9ded2e4131,5dfedfbb557425b599c8c523,APPROVED,2022-12-12T14:58:23.683000Z,2022-12-12T15:33:22.506000Z,2022-12-12T15:33:23.020000,2022-12-12T15:33:22.938261Z,2099,C17FQB5L,1102,English,Technical/community college,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6397417715a293127a366b4b,63468bca8b362157c0a33cfd,APPROVED,2022-12-12T14:58:14.614000Z,2022-12-12T15:18:19.028000Z,2022-12-12T15:18:19.533000,2022-12-12T15:18:19.462553Z,1205,C17FQB5L,123,English,Graduate degree (MA/MSc/MPhil/other),26,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
63974177a00dadf2b48aceb1,5ed1566237d27008e6239275,APPROVED,2022-12-12T14:58:02.217000Z,2022-12-12T15:09:45.771000Z,2022-12-12T15:09:46.457000,2022-12-12T15:09:46.391512Z,704,C17FQB5L,1063,English,Undergraduate degree (BA/BSc/other),36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
639741783f9a1d79eb02a5c3,56abcb46f209e0000adab961,APPROVED,2022-12-12T14:58:00.629000Z,2022-12-12T15:15:07.039000Z,2022-12-12T15:15:07.519000,2022-12-12T15:15:07.445621Z,1027,C17FQB5L,2353,English,Undergraduate degree (BA/BSc/other),62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63974179c5d2dfeb0587d341,5ea00d4b1286ee0008405450,APPROVED,2022-12-12T14:58:06.019000Z,2022-12-12T15:21:16.026000Z,2022-12-12T15:21:16.528000,2022-12-12T15:21:16.453159Z,1391,C17FQB5L,480,English,High school diploma/A-levels,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6397417a4eb8a3c8fad33a00,6161c4cc2d4f503e8265038e,APPROVED,2022-12-12T14:58:02.756000Z,2022-12-12T15:19:22.263000Z,2022-12-12T15:19:22.796000,2022-12-12T15:19:22.698224Z,1280,C17FQB5L,535,English,Undergraduate degree (BA/BSc/other),27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6397417a910eb453576e1454,5eb05ee34ca8a81042c289ab,APPROVED,2022-12-12T14:58:02.335000Z,2022-12-12T15:36:08.197000Z,2022-12-12T15:36:08.623000,2022-12-12T15:36:08.552500Z,2286,C17FQB5L,1225,English,Undergraduate degree (BA/BSc/other),31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
