Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639758628bc2ab72fbdf482c,5995889da2bbe000018833d9,APPROVED,2022-12-12T16:35:56.323000Z,2022-12-12T16:55:09.817000Z,2022-12-12T16:55:10.248000,2022-12-12T16:55:10.173262Z,1154,C17FQB5L,880,English,Undergraduate degree (BA/BSc/other),32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6397586be95efe271b6e4bfc,608fdbc4196e5708ed3f291a,APPROVED,2022-12-12T16:37:45.055000Z,2022-12-12T17:18:45.391000Z,2022-12-12T17:18:46.848000,2022-12-12T17:18:46.776595Z,2461,C17FQB5L,408,English,Graduate degree (MA/MSc/MPhil/other),29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6397586c159dccef052d4ea9,62861bcc5f0edf6340c914df,APPROVED,2022-12-12T16:36:11.202000Z,2022-12-12T16:56:42.043000Z,2022-12-12T16:56:42.689000,2022-12-12T16:56:42.618855Z,1231,C17FQB5L,345,English,High school diploma/A-levels,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6397586f09f15a16aeb54d55,5eff07d279c81803541503a8,APPROVED,2022-12-12T16:35:59.398000Z,2022-12-12T16:56:08.274000Z,2022-12-12T16:56:08.765000,2022-12-12T16:56:08.667522Z,1209,C17FQB5L,1020,English,Undergraduate degree (BA/BSc/other),45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6397586f3ea312d1443c06c8,60faa15c2865f29284c740fc,APPROVED,2022-12-12T16:36:29.329000Z,2022-12-12T16:53:18.292000Z,2022-12-12T16:53:18.771000,2022-12-12T16:53:18.695201Z,1009,C17FQB5L,344,English,High school diploma/A-levels,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6397587123e0078fd11b592a,5b17642244127b00013f7f65,APPROVED,2022-12-12T16:36:17.289000Z,2022-12-12T17:23:24.281000Z,2022-12-12T17:23:24.933000,2022-12-12T17:23:24.839087Z,2827,C17FQB5L,1338,English,Undergraduate degree (BA/BSc/other),37,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6397587156da9c1109df47ea,5ce2cde71d1060001a811155,APPROVED,2022-12-12T16:36:26.922000Z,2022-12-12T16:55:36.904000Z,2022-12-12T16:55:37.355000,2022-12-12T16:55:37.283803Z,1150,C17FQB5L,1507,English,High school diploma/A-levels,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63975872872fa91b20c78007,5a9d68a3dbdb470001eefb79,APPROVED,2022-12-12T16:36:06.956000Z,2022-12-12T16:49:05.472000Z,2022-12-12T16:49:06.053000Z,2022-12-12T16:49:06.226871Z,779,C17FQB5L,972,"French, English",Graduate degree (MA/MSc/MPhil/other),54,Female,White,United Kingdom,United Kingdom,United Kingdom,French,No,Full-Time
6397587580cace115c698fd5,6064f324490f89475bf8e184,APPROVED,2022-12-12T16:36:05.165000Z,2022-12-12T16:51:31.749000Z,2022-12-12T16:51:33.147000,2022-12-12T16:51:33.057247Z,927,C17FQB5L,72,English,High school diploma/A-levels,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63975875ea9fc087653c415e,5ef647ec3ce68a1178780f5a,APPROVED,2022-12-12T16:36:09.264000Z,2022-12-12T17:35:26.363000Z,2022-12-12T17:35:27.359000,2022-12-12T17:35:27.277256Z,3558,C17FQB5L,864,English,High school diploma/A-levels,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639758771292d2ae24abb660,5eccf455d8fbb95121cc38cd,APPROVED,2022-12-12T16:37:44.016000Z,2022-12-12T16:59:54.251000Z,2022-12-12T16:59:54.756000,2022-12-12T16:59:54.675885Z,1331,C17FQB5L,347,"English, Polish",Technical/community college,24,Female,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
639758777a8b63dc47698f7e,5b97f2375612b30001acc4c9,APPROVED,2022-12-12T16:36:31.277000Z,2022-12-12T16:52:43.449000Z,2022-12-12T16:52:43.939000,2022-12-12T16:52:43.860961Z,973,C17FQB5L,1354,English,High school diploma/A-levels,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6397587a298c7c80ae2d4e5e,5c5da3b159ec1d0001fe5606,APPROVED,2022-12-12T16:37:21.370000Z,2022-12-12T17:00:10.751000Z,2022-12-12T17:00:16.230000,2022-12-12T17:00:11.164571Z,1370,C17FQB5L,1430,English,Technical/community college,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6397587ce69864a4749cee87,5c762ce8eda5da001662be0b,APPROVED,2022-12-12T16:36:19.728000Z,2022-12-12T16:57:19.097000Z,2022-12-12T16:57:19.624000,2022-12-12T16:57:19.530800Z,1260,C17FQB5L,155,English,Technical/community college,27,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6397587d0b81d6312814be80,5ecff76b3acdb0095ebf080d,APPROVED,2022-12-12T16:36:13.329000Z,2022-12-12T16:50:05.827000Z,2022-12-12T16:50:06.334000,2022-12-12T16:50:06.249987Z,833,C17FQB5L,887,"English, French",High school diploma/A-levels,38,Male,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time
6397587f6c81dc18e56024ca,5e9edad6e7784d016ed87b36,APPROVED,2022-12-12T16:36:16.890000Z,2022-12-12T16:54:10.448000Z,2022-12-12T16:54:10.906000,2022-12-12T16:54:10.833379Z,1074,C17FQB5L,1155,English,Graduate degree (MA/MSc/MPhil/other),44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
63975881138306e3a93c40e2,6128188a420f8d3f27f8d8b1,APPROVED,2022-12-12T16:36:28.644000Z,2022-12-12T17:00:10.472000Z,2022-12-12T17:00:11.043000,2022-12-12T17:00:10.920421Z,1422,C17FQB5L,256,English,High school diploma/A-levels,19,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
639758823f73bda2bae0a162,62b445062f732535911f91b7,APPROVED,2022-12-12T16:36:18.986000Z,2022-12-12T17:06:06.187000Z,2022-12-12T17:06:06.684000,2022-12-12T17:06:06.576138Z,1788,C17FQB5L,332,"Bengali, English",Graduate degree (MA/MSc/MPhil/other),26,Male,Asian,United Kingdom,United Kingdom,United Kingdom,Bengali,No,Full-Time
63975882aae0336b6144a731,599973b4336b6b000159e62d,APPROVED,2022-12-12T16:36:20.401000Z,2022-12-12T16:52:54.128000Z,2022-12-12T16:52:54.701000Z,2022-12-12T16:52:55.343812Z,994,C17FQB5L,1943,English,Graduate degree (MA/MSc/MPhil/other),25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6397588315d9be7bf5e0a11e,5bad16bfd0e97100013f49ad,APPROVED,2022-12-12T16:36:22.706000Z,2022-12-12T16:56:33.147000Z,2022-12-12T16:56:33.663000,2022-12-12T16:56:33.587120Z,1211,C17FQB5L,1117,English,Undergraduate degree (BA/BSc/other),49,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63975884087f1b0d96d02e63,5bb0e35556161d0001feccdc,APPROVED,2022-12-12T16:36:25.522000Z,2022-12-12T16:56:28.548000Z,2022-12-12T16:56:29.052000,2022-12-12T16:56:28.964924Z,1204,C17FQB5L,1031,English,Technical/community college,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
63975884e065b2076001de1b,637f86d14043aee189917962,APPROVED,2022-12-12T16:36:43.849000Z,2022-12-12T16:57:53.536000Z,2022-12-12T16:57:56.827000,2022-12-12T16:57:56.739801Z,1270,C17FQB5L,30,English,Undergraduate degree (BA/BSc/other),40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63975885dfe074f913f318e7,636594aeb530d6f0868d9806,APPROVED,2022-12-12T16:36:59.351000Z,2022-12-12T17:21:03.737000Z,2022-12-12T17:21:04.397000,2022-12-12T17:21:04.334618Z,2645,C17FQB5L,68,English,Undergraduate degree (BA/BSc/other),56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6397589a0bdb9bcfca8b22ba,63161177a364d42cdf76b1a6,APPROVED,2022-12-12T16:37:03.179000Z,2022-12-12T16:57:42.432000Z,2022-12-12T16:57:43.009000,2022-12-12T16:57:42.933416Z,1240,C17FQB5L,176,English,Graduate degree (MA/MSc/MPhil/other),20,Male,White,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
639758a17c6d77809409253b,61265e53740259c87b17cc66,APPROVED,2022-12-12T16:36:54.232000Z,2022-12-12T16:58:13.665000Z,2022-12-12T16:58:15.782000,2022-12-12T16:58:14.158998Z,1280,C17FQB5L,300,English,Undergraduate degree (BA/BSc/other),58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
