Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63976adef11bdb2e4ebfacd9,5d2de4db914b6e001877da8f,APPROVED,2022-12-12T18:02:03.524000Z,2022-12-12T18:15:54.766000Z,2022-12-12T18:15:56.175000,2022-12-12T18:15:56.086839Z,832,C17FQB5L,1052,"German, English",High school diploma/A-levels,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63976adf6cb85985432d4e88,5d7aad1cf6ad4700158bb42a,APPROVED,2022-12-12T18:04:00.443000Z,2022-12-12T18:22:25.074000Z,2022-12-12T18:22:25.542000,2022-12-12T18:22:25.452490Z,1105,C17FQB5L,210,"Spanish, English",Graduate degree (MA/MSc/MPhil/other),24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63976ae13a27f83319abb66d,60eefc637c43864099be023a,APPROVED,2022-12-12T17:54:46.643000Z,2022-12-12T18:10:41.719000Z,2022-12-12T18:10:42.206000,2022-12-12T18:10:42.130529Z,956,C17FQB5L,455,English,High school diploma/A-levels,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
63976ae1b990826bf1e5d6a9,5422ae1afdf99b328c91b203,APPROVED,2022-12-12T17:54:44.168000Z,2022-12-12T18:07:56.424000Z,2022-12-12T18:07:57.035000,2022-12-12T18:07:56.948663Z,793,C17FQB5L,1801,English,Undergraduate degree (BA/BSc/other),42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63976ae1bf50c757017f3c38,5a4a8802817d1800018d2549,APPROVED,2022-12-12T17:54:56.877000Z,2022-12-12T18:17:09.443000Z,2022-12-12T18:17:11.584000,2022-12-12T18:17:11.519345Z,1333,C17FQB5L,1043,English,Graduate degree (MA/MSc/MPhil/other),40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63976ae1de2ed8d4a8ab351b,5d7ebf9e93902b0001965912,APPROVED,2022-12-12T17:54:47.576000Z,2022-12-12T18:16:00.943000Z,2022-12-12T18:16:02.694000,2022-12-12T18:16:02.629200Z,1274,C17FQB5L,1014,English,Graduate degree (MA/MSc/MPhil/other),38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63976ae229ceb995839a8260,6311b67cfbf71fef17be1dd3,APPROVED,2022-12-12T17:55:03.880000Z,2022-12-12T18:33:34.322000Z,2022-12-12T18:33:34.907000,2022-12-12T18:33:34.798403Z,2311,C17FQB5L,143,"English, Russian, Ukrainian",Doctorate degree (PhD/other),44,Female,White,Russian Federation,United Kingdom,United Kingdom,Russian,No,Full-Time
63976ae329ceb995839a8261,5b59ea857ac6d70001aae449,APPROVED,2022-12-12T17:54:43.366000Z,2022-12-12T18:13:11.196000Z,2022-12-12T18:13:11.749000,2022-12-12T18:13:11.684546Z,1108,C17FQB5L,460,English,Undergraduate degree (BA/BSc/other),27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63976ae4afd2cf191f070657,5dee11c6d35cc34acae7c301,APPROVED,2022-12-12T17:55:02.555000Z,2022-12-12T18:15:11.764000Z,2022-12-12T18:15:12.459000,2022-12-12T18:15:12.392512Z,1210,C17FQB5L,1290,English,Technical/community college,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63976ae4d1917f7ce244a730,60886f033e4f5c214da0c898,APPROVED,2022-12-12T17:56:24.791000Z,2022-12-12T18:14:50.719000Z,2022-12-12T18:14:51.262000Z,2022-12-12T18:14:51.336160Z,1106,C17FQB5L,797,English,Graduate degree (MA/MSc/MPhil/other),47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63976ae4e6faeb1ea59b6c9d,5e7fa0e918b10804bb87eb63,APPROVED,2022-12-12T17:54:54.635000Z,2022-12-12T18:14:55.835000Z,2022-12-12T18:14:56.483000,2022-12-12T18:14:56.398246Z,1202,C17FQB5L,1457,English,Undergraduate degree (BA/BSc/other),50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63976ae4f963441d829657d4,5e668a7463bec7407f2a65f9,APPROVED,2022-12-12T17:54:44.339000Z,2022-12-12T18:47:45.032000Z,2022-12-12T18:47:46.227000,2022-12-12T18:47:46.141915Z,3181,C17FQB5L,865,English,Graduate degree (MA/MSc/MPhil/other),30,Female,Black,Ghana,United Kingdom,United Kingdom,English,Yes,Part-Time
63976ae7c5b27dc5d79cee43,5f25ae44546c5a26eabe8a14,APPROVED,2022-12-12T17:54:47.538000Z,2022-12-12T18:17:59.728000Z,2022-12-12T18:18:00.267000,2022-12-12T18:18:00.170462Z,1393,C17FQB5L,826,"English, Twi",Graduate degree (MA/MSc/MPhil/other),26,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
63976ae8aaa403756803c988,5fb249cbf1bb8b7db9bb8d13,APPROVED,2022-12-12T17:54:55.370000Z,2022-12-12T18:11:40.035000Z,2022-12-12T18:11:40.768000,2022-12-12T18:11:40.676136Z,1005,C17FQB5L,919,English,Graduate degree (MA/MSc/MPhil/other),57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63976aea9fb9d6aa8fa399dc,5bc0dc5f68d8ec0001a27a7f,APPROVED,2022-12-12T17:54:52.491000Z,2022-12-12T18:09:32.737000Z,2022-12-12T18:09:33.225000,2022-12-12T18:09:33.154194Z,881,C17FQB5L,143,"Polish, English",High school diploma/A-levels,22,Male,White,Poland,United Kingdom,United Kingdom,Polish,Yes,Due to start a new job within the next month
63976aecdd9401abf00f6f0f,5ddc3d821096eab9b719ca02,APPROVED,2022-12-12T17:54:55.615000Z,2022-12-12T18:09:40.913000Z,2022-12-12T18:09:41.384000,2022-12-12T18:09:41.315690Z,886,C17FQB5L,436,"English, French",High school diploma/A-levels,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63976aedbc3ee6a31a0e5cb6,5ebaec011a7d64080694fe74,APPROVED,2022-12-12T17:54:53.890000Z,2022-12-12T18:14:46.200000Z,2022-12-12T18:14:46.679000,2022-12-12T18:14:46.610442Z,1193,C17FQB5L,1104,"Italian, English",Undergraduate degree (BA/BSc/other),50,Male,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
63976aee17962d5f90312684,5bbd2bdcf7358a000171636f,APPROVED,2022-12-12T17:55:09.638000Z,2022-12-12T18:16:31.597000Z,2022-12-12T18:16:32.074000,2022-12-12T18:16:31.989795Z,1282,C17FQB5L,454,English,High school diploma/A-levels,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63976aee6e851dd7a31afcb6,5eb9a982da9efb0d08870a26,APPROVED,2022-12-12T17:54:54.475000Z,2022-12-12T18:23:33.686000Z,2022-12-12T18:23:34.217000Z,2022-12-12T18:23:34.510904Z,1720,C17FQB5L,129,"Spanish, English",Graduate degree (MA/MSc/MPhil/other),42,Male,White,United Kingdom,United Kingdom,United Kingdom,Spanish,No,Full-Time
63976aeed2d086415733b79f,6346b0c544caa80ebc4e5b2d,APPROVED,2022-12-12T17:55:07.551000Z,2022-12-12T18:11:58.845000Z,2022-12-12T18:11:59.295000Z,2022-12-12T18:11:59.466436Z,1012,C17FQB5L,162,English,Graduate degree (MA/MSc/MPhil/other),28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63976aefde7769a94c6d9487,62fb79e7c968f4fc555d1e2f,APPROVED,2022-12-12T17:54:57.111000Z,2022-12-12T18:14:18.846000Z,2022-12-12T18:14:19.370000,2022-12-12T18:14:19.295801Z,1162,C17FQB5L,189,English,Undergraduate degree (BA/BSc/other),32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63976aefe6faeb1ea59b6c9f,5f7a4d05a8da636ab1802596,APPROVED,2022-12-12T17:59:25.280000Z,2022-12-12T18:29:20.155000Z,2022-12-12T18:29:20.829000,2022-12-12T18:29:20.756232Z,1795,C17FQB5L,1002,English,Doctorate degree (PhD/other),55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
