Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639db7614e37c08e3a61af5c,5c5c1528f1c982000151090a,APPROVED,2022-12-17T12:34:41.876000Z,2022-12-17T12:50:45.559000Z,2022-12-17T12:50:47.059000,2022-12-17T12:50:46.973122Z,964,C17FQB5L,324,English,High school diploma/A-levels,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639db76519b47677784d09f4,5bc73b9f821054000181a853,APPROVED,2022-12-17T12:34:45.246000Z,2022-12-17T13:08:04.403000Z,2022-12-17T13:08:04.898000,2022-12-17T13:08:04.822982Z,2000,C17FQB5L,1703,English,Technical/community college,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639db7661f57c968f797c252,5f0c5a561cecb606cd7987b0,APPROVED,2022-12-17T12:34:46.154000Z,2022-12-17T12:53:38.423000Z,2022-12-17T12:53:38.942000,2022-12-17T12:53:38.871942Z,1133,C17FQB5L,445,English,Undergraduate degree (BA/BSc/other),22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
639db769212d630a89604077,630cba3d8762889cd38def30,APPROVED,2022-12-17T12:35:01.848000Z,2022-12-17T12:51:36.777000Z,2022-12-17T12:51:37.214000,2022-12-17T12:51:37.133839Z,995,C17FQB5L,102,"English, Other",High school diploma/A-levels,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
639db7694f3777a03bbe31fb,5f674b595c87a8334c381ae7,APPROVED,2022-12-17T12:34:57.061000Z,2022-12-17T12:57:38.943000Z,2022-12-17T12:57:39.389000,2022-12-17T12:57:39.316780Z,1362,C17FQB5L,1347,English,High school diploma/A-levels,72,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639db76a526ce4ed37c8491a,5c9d88bb2b3c77001744ec1c,APPROVED,2022-12-17T12:34:50.157000Z,2022-12-17T13:04:05.027000Z,2022-12-17T13:04:05.531000,2022-12-17T13:04:05.457306Z,1755,C17FQB5L,1535,English,Undergraduate degree (BA/BSc/other),36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639db76c7cd54f17b23130ea,62b447656327845c605becd9,APPROVED,2022-12-17T12:35:05.319000Z,2022-12-17T13:00:01.052000Z,2022-12-17T13:00:01.572000,2022-12-17T13:00:01.500981Z,1496,C17FQB5L,280,English,High school diploma/A-levels,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
639db76ca9921d6bd6a3dda4,5c17c149f596b100011ca8b8,APPROVED,2022-12-17T12:34:52.686000Z,2022-12-17T13:47:16.550000Z,2022-12-17T13:47:17.381000,2022-12-17T13:47:17.305859Z,4344,C17FQB5L,1630,English,Graduate degree (MA/MSc/MPhil/other),34,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
639db76d9a1c28589fb85703,5ea0304b6d57b8000c9b742c,APPROVED,2022-12-17T12:34:53.742000Z,2022-12-17T12:55:16.301000Z,2022-12-17T12:55:18.920000,2022-12-17T12:55:18.844212Z,1223,C17FQB5L,1465,English,Graduate degree (MA/MSc/MPhil/other),51,Male,Asian,India,United Kingdom,United Kingdom,Bengali,No,Full-Time
639db76e4cb324d881be31f4,60643e9b1b2e851ff9238862,APPROVED,2022-12-17T12:35:02.760000Z,2022-12-17T12:56:09.703000Z,2022-12-17T12:56:10.188000,2022-12-17T12:56:10.117847Z,1267,C17FQB5L,1164,"English, French",Undergraduate degree (BA/BSc/other),33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639db76f71671e277cde3285,604e7009ec21c0e9b6990c6f,APPROVED,2022-12-17T12:34:58.186000Z,2022-12-17T12:47:33.657000Z,2022-12-17T12:47:34.087000,2022-12-17T12:47:34.004817Z,756,C17FQB5L,86,English,High school diploma/A-levels,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639db76fdb7b6443eee2487f,5e7f1c5ee2d6185def08ac67,APPROVED,2022-12-17T12:34:55.919000Z,2022-12-17T13:04:48.322000Z,2022-12-17T13:04:48.857000,2022-12-17T13:04:48.770107Z,1793,C17FQB5L,1131,English,Graduate degree (MA/MSc/MPhil/other),68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639db772c6b70ce21d593f4d,629b3b3c89d490460eacbfbc,APPROVED,2022-12-17T12:34:58.355000Z,2022-12-17T13:00:02.779000Z,2022-12-17T13:00:05.725000,2022-12-17T13:00:03.194294Z,1505,C17FQB5L,458,"Italian, English",Doctorate degree (PhD/other),37,Male,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
639db775026e4ede3728a424,5be6ef463b047e0001a38a8a,APPROVED,2022-12-17T12:35:01.140000Z,2022-12-17T12:53:40.482000Z,2022-12-17T12:53:40.961000,2022-12-17T12:53:40.847879Z,1120,C17FQB5L,1513,English,Technical/community college,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
