Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639dcd915a0d2b5cdee1a627,595804ea8b58be00012c25a1,APPROVED,2022-12-17T14:09:21.257000Z,2022-12-17T14:34:11.041000Z,2022-12-17T14:34:11.531000,2022-12-17T14:34:11.459481Z,1490,C17FQB5L,2599,"English, Spanish",Graduate degree (MA/MSc/MPhil/other),50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcd931560ac8ce9be31bd,57d5ab3a722df500017f3622,APPROVED,2022-12-17T14:09:23.410000Z,2022-12-17T14:26:34.480000Z,2022-12-17T14:26:34.961000,2022-12-17T14:26:34.897682Z,1032,C17FQB5L,3436,English,Technical/community college,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcd959d64d4c3d59540a6,614a4492903df4380cb1a0c2,APPROVED,2022-12-17T14:09:28.399000Z,2022-12-17T14:24:11.834000Z,2022-12-17T14:24:12.341000,2022-12-17T14:24:12.273007Z,884,C17FQB5L,704,English,Undergraduate degree (BA/BSc/other),52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcd95fc2ae3c9767bfb4b,566d5997d408ea00051a2a86,APPROVED,2022-12-17T14:11:05.629000Z,2022-12-17T14:27:00.450000Z,2022-12-17T14:27:00.976000,2022-12-17T14:27:00.894772Z,955,C17FQB5L,2087,English,Graduate degree (MA/MSc/MPhil/other),38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcd95fe8bce676d28a422,62682277645054f5802459b8,APPROVED,2022-12-17T14:09:25.164000Z,2022-12-17T14:28:46.982000Z,2022-12-17T14:28:47.452000,2022-12-17T14:28:47.367028Z,1162,C17FQB5L,436,English,Undergraduate degree (BA/BSc/other),56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
639dcd98b717f17c5cd91641,6266b0409582f553a3e10d9a,APPROVED,2022-12-17T14:09:28.401000Z,2022-12-17T14:37:06.333000Z,2022-12-17T14:37:06.814000,2022-12-17T14:37:06.725925Z,1658,C17FQB5L,517,English,Undergraduate degree (BA/BSc/other),53,Male,White,Zimbabwe,United Kingdom,United Kingdom,English,No,Full-Time
639dcd9b2368a9d0d7d9c2cb,62fc9f0a3186ccfb69e7d528,APPROVED,2022-12-17T14:09:31.753000Z,2022-12-17T14:34:51.720000Z,2022-12-17T14:34:52.185000,2022-12-17T14:34:52.105147Z,1520,C17FQB5L,168,"English, French",Doctorate degree (PhD/other),57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
639dcd9b2c9836495f97c221,6130c7f7d0112fa23b17079c,APPROVED,2022-12-17T14:12:48.546000Z,2022-12-17T14:49:11.047000Z,2022-12-17T14:49:11.511000,2022-12-17T14:49:11.408465Z,2183,C17FQB5L,661,English,Undergraduate degree (BA/BSc/other),23,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
639dcd9b3a4731658e593f23,5f6b027e6eae971e2fa13594,APPROVED,2022-12-17T14:09:36.931000Z,2022-12-17T14:27:51.489000Z,2022-12-17T14:27:51.941000,2022-12-17T14:27:51.871467Z,1095,C17FQB5L,429,"English, Spanish",Graduate degree (MA/MSc/MPhil/other),34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcd9f2e4df0856bb598bd,5dcaca3084116a7965ef1fd4,APPROVED,2022-12-17T14:10:03.055000Z,2022-12-17T14:30:01.861000Z,2022-12-17T14:30:02.350000,2022-12-17T14:30:02.279949Z,1199,C17FQB5L,772,English,Technical/community college,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639dcda082fc64598cb85741,5f6388c21b14c5079764e750,APPROVED,2022-12-17T14:09:36.374000Z,2022-12-17T14:35:45.004000Z,2022-12-17T14:35:45.466000,2022-12-17T14:35:45.396772Z,1569,C17FQB5L,1353,English,Technical/community college,33,Male,White,Japan,United Kingdom,United States,English,No,Unemployed (and job seeking)
639dcda0c68d1f2e9ca3ddb7,5c321ebf6558270001bd79aa,APPROVED,2022-12-17T14:09:36.606000Z,2022-12-17T14:43:53.324000Z,2022-12-17T14:43:53.795000,2022-12-17T14:43:53.710139Z,2057,C17FQB5L,1127,"English, Danish",Undergraduate degree (BA/BSc/other),42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcda227bad10ffb4c9dc3,5ea3319a6a1a5b2a1175ed6e,APPROVED,2022-12-17T14:11:51.357000Z,2022-12-17T14:44:07.340000Z,2022-12-17T14:44:07.801000Z,2022-12-17T14:44:08.058812Z,1936,C17FQB5L,1154,English,Technical/community college,72,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639dcda33965bf0e404d0a0f,5e39dfdc54fca708912dfab5,APPROVED,2022-12-17T14:09:39.636000Z,2022-12-17T14:26:29.939000Z,2022-12-17T14:26:30.369000,2022-12-17T14:26:30.298326Z,1011,C17FQB5L,1521,English,Technical/community college,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcda690824fdf2a9540eb,5f1e33e58d05fc3a189c6ab4,APPROVED,2022-12-17T14:09:44.493000Z,2022-12-17T14:43:59.339000Z,2022-12-17T14:44:00.137000,2022-12-17T14:44:00.072195Z,2055,C17FQB5L,969,"Bengali, English, Urdu",Undergraduate degree (BA/BSc/other),23,Female,Asian,United Kingdom,United Kingdom,United Kingdom,Bengali,No,Part-Time
639dcda8b4f80c19b2438efc,572b912c3ab9df000dba9eef,APPROVED,2022-12-17T14:11:19.774000Z,2022-12-17T14:24:30.461000Z,2022-12-17T14:24:31.328000,2022-12-17T14:24:31.254541Z,791,C17FQB5L,656,English,Undergraduate degree (BA/BSc/other),26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcda9998dd267067bfb84,634b26ce0aaab507fa36b71c,APPROVED,2022-12-17T14:10:03.925000Z,2022-12-17T14:29:56.287000Z,2022-12-17T14:29:56.740000,2022-12-17T14:29:56.673536Z,1193,C17FQB5L,22,"English, Hindi, Gujarati",Graduate degree (MA/MSc/MPhil/other),27,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639dcdaa75b1fa1fd9424171,5987030cfd8cca00015cbc26,APPROVED,2022-12-17T14:09:46.468000Z,2022-12-17T14:29:44.054000Z,2022-12-17T14:29:44.465000,2022-12-17T14:29:44.393885Z,1198,C17FQB5L,1990,English,Graduate degree (MA/MSc/MPhil/other),58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
