Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639de87bded75ab5379caed5,601fe0de101ae05414812f4d,APPROVED,2022-12-17T16:05:37.903000Z,2022-12-17T16:20:57.092000Z,2022-12-17T16:20:58.802000,2022-12-17T16:20:57.501046Z,920,C17FQB5L,873,"English, Norwegian, Polish",Undergraduate degree (BA/BSc/other),27,Female,White,Poland,United Kingdom,United Kingdom,Polish,No,Full-Time
639de88175a22b1ba4e1a625,5d3ef33e8da0790017c90e08,APPROVED,2022-12-17T16:04:17.563000Z,2022-12-17T16:17:07.637000Z,2022-12-17T16:17:08.235000,2022-12-17T16:17:08.145188Z,771,C17FQB5L,708,English,Undergraduate degree (BA/BSc/other),32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639de8818042cdba01b5989f,5dc8dff727a26762edc4c858,APPROVED,2022-12-17T16:04:20.165000Z,2022-12-17T16:28:14.824000Z,2022-12-17T16:28:15.493000,2022-12-17T16:28:15.412401Z,1435,C17FQB5L,154,English,High school diploma/A-levels,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
639de88311f6bd3cbf593f42,55da1c4669dbc30010b67569,APPROVED,2022-12-17T16:04:19.945000Z,2022-12-17T16:32:24.306000Z,2022-12-17T16:32:24.724000,2022-12-17T16:32:24.651244Z,1685,C17FQB5L,2059,"English, French",Undergraduate degree (BA/BSc/other),33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
639de8839cfe4fb791c84900,5bbc3d95f1f9ba000141d855,APPROVED,2022-12-17T16:09:57.699000Z,2022-12-17T16:34:09.214000Z,2022-12-17T16:34:09.802000,2022-12-17T16:34:09.690481Z,1452,C17FQB5L,1761,English,Undergraduate degree (BA/BSc/other),64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639de8846e8f7a4547be31cb,62b224142b613b1ffb985ed2,APPROVED,2022-12-17T16:10:54.185000Z,2022-12-17T16:33:48.973000Z,2022-12-17T16:33:49.471000,2022-12-17T16:33:49.396053Z,1375,C17FQB5L,373,English,Graduate degree (MA/MSc/MPhil/other),54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639de885f1cb390e5b4c9dc1,5eb7094fbb8ed70b61398cff,APPROVED,2022-12-17T16:04:21.724000Z,2022-12-17T16:19:16.947000Z,2022-12-17T16:19:17.431000,2022-12-17T16:19:17.332723Z,896,C17FQB5L,1235,"English, Polish",Undergraduate degree (BA/BSc/other),44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639de8868eabaeae0c4c9df0,57be9976c5234c00014706c1,APPROVED,2022-12-17T16:04:52.835000Z,2022-12-17T16:34:53.167000Z,2022-12-17T16:34:53.709000,2022-12-17T16:34:53.620495Z,1801,C17FQB5L,977,English,Technical/community college,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
639de886d1c25c300697c276,604ce6075c751bc1e1a11dd5,APPROVED,2022-12-17T16:04:26.296000Z,2022-12-17T16:20:04.950000Z,2022-12-17T16:20:05.443000,2022-12-17T16:20:05.338084Z,939,C17FQB5L,701,"English, Italian, Spanish",Undergraduate degree (BA/BSc/other),41,Female,White,Italy,United Kingdom,Italy,Italian,No,Part-Time
639de888e1cf400f719caec9,5c4f7b99b33a5300013dbfdd,APPROVED,2022-12-17T16:04:24.811000Z,2022-12-17T16:21:02.290000Z,2022-12-17T16:21:02.760000,2022-12-17T16:21:02.680774Z,998,C17FQB5L,1274,English,Graduate degree (MA/MSc/MPhil/other),27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
