Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639e536ba893324e5461484f,5b59a51fca6d01000157a8c3,APPROVED,2022-12-17T23:40:35.615000Z,2022-12-18T00:00:49.395000Z,2022-12-18T00:01:14.977000Z,2022-12-18T00:01:26.116104Z,1214,C17FQB5L,2587,English,Doctorate degree (PhD/other),37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639e53719d771f362d0d5f8b,5efd22056ec55516587f32a6,APPROVED,2022-12-17T23:40:33.467000Z,2022-12-18T00:09:38.104000Z,2022-12-18T00:09:38.669000,2022-12-18T00:09:38.596855Z,1745,C17FQB5L,1478,"English, German",Undergraduate degree (BA/BSc/other),25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
639e53754e93c4afc4424194,5fea2e6613597c51a166f24d,APPROVED,2022-12-17T23:40:37.804000Z,2022-12-18T00:02:44.603000Z,2022-12-18T00:02:45.112000,2022-12-18T00:02:45.012734Z,1327,C17FQB5L,1512,English,Undergraduate degree (BA/BSc/other),55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639e5375a194737fbca3aef9,62fbf0a70bb3960cd2e5fbc9,APPROVED,2022-12-17T23:46:59.545000Z,2022-12-18T00:11:08.865000Z,2022-12-18T00:11:09.875000,2022-12-18T00:11:09.799908Z,1450,C17FQB5L,192,"German, English, Slovenian",Doctorate degree (PhD/other),42,Female,White,Slovenia,United Kingdom,Slovenia,Slovenian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639e537bf09acb28d8e1a601,5abb8dcb7ccedb0001b7f0d7,APPROVED,2022-12-17T23:40:46.064000Z,2022-12-18T00:07:07.079000Z,2022-12-18T00:07:07.540000,2022-12-18T00:07:07.442613Z,1582,C17FQB5L,1613,English,Technical/community college,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639e537c4f3af4c614eebe45,5ef0530e6a229555fac1f7c9,APPROVED,2022-12-17T23:40:44.382000Z,2022-12-17T23:56:58.586000Z,2022-12-17T23:56:59.011000,2022-12-17T23:56:58.934355Z,975,C17FQB5L,946,"Scots, English",Undergraduate degree (BA/BSc/other),31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639e537e5664c13ce4e1a60d,6358f1332459f21caa585aef,APPROVED,2022-12-17T23:40:46.448000Z,2022-12-18T00:22:25.120000Z,2022-12-18T00:22:25.859000,2022-12-18T00:22:25.774349Z,2499,C17FQB5L,93,English,High school diploma/A-levels,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
639e537fe9e1e40add28a45a,611aa9eeaa36f51f00d5e8da,APPROVED,2022-12-17T23:40:50.519000Z,2022-12-17T23:57:31.217000Z,2022-12-17T23:57:31.718000,2022-12-17T23:57:31.650978Z,1001,C17FQB5L,463,English,Graduate degree (MA/MSc/MPhil/other),30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639e5381b894d99560438f0b,5f0f6ef654ae12126762bd4e,APPROVED,2022-12-17T23:40:49.708000Z,2022-12-18T00:03:21.097000Z,2022-12-18T00:03:21.672000,2022-12-18T00:03:21.575686Z,1352,C17FQB5L,1024,English,Undergraduate degree (BA/BSc/other),62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639e53825390784c81d9c2d3,5975ea651a800200011cd0f7,APPROVED,2022-12-17T23:41:18.153000Z,2022-12-18T00:00:39.194000Z,2022-12-18T00:01:00.652000Z,2022-12-18T00:01:18.959951Z,1162,C17FQB5L,931,English,Graduate degree (MA/MSc/MPhil/other),39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639e538285df2ec78bd9c2ee,5f00d65cb69f9e20f144e404,APPROVED,2022-12-17T23:40:50.872000Z,2022-12-18T00:11:42.746000Z,2022-12-18T00:11:43.200000,2022-12-18T00:11:43.128794Z,1852,C17FQB5L,979,"English, Italian",Undergraduate degree (BA/BSc/other),26,Male,Asian,Italy,United Kingdom,Italy,English,No,Full-Time
639e5382d55c8e678f7bfb35,62b07159ba623a4beb4012e0,APPROVED,2022-12-17T23:40:58.428000Z,2022-12-18T00:04:41.604000Z,2022-12-18T00:04:42.035000,2022-12-18T00:04:41.965595Z,1424,C17FQB5L,494,English,Undergraduate degree (BA/BSc/other),25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639e5386748ccc3ade61484e,62ceeffea6d9872b4adeee6f,APPROVED,2022-12-17T23:40:54.129000Z,2022-12-17T23:58:55.972000Z,2022-12-17T23:58:56.412000,2022-12-17T23:58:56.341378Z,1082,C17FQB5L,209,"English, Polish",Technical/community college,22,Male,White,Poland,United Kingdom,Poland,Polish,No,Part-Time
