Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
637e3d29f5023f963d047ef7,59dd90f6e75b450001a68dac,APPROVED,2022-11-23T15:33:05.175000Z,2022-11-23T15:52:38.493000Z,2022-11-23T15:52:39.019000,2022-11-23T15:52:38.934823Z,1174,C17FQB5L,1434,English,Undergraduate degree (BA/BSc/other),35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
637e3d31a6009251c8075bf4,62e2dbce6972374fdd427048,APPROVED,2022-11-23T15:35:05.017000Z,2022-11-23T15:59:19.969000Z,2022-11-23T15:59:21.113000,2022-11-23T15:59:21.016637Z,1455,C17FQB5L,179,English,High school diploma/A-levels,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
637e3d4df999d9fe96b37848,5ee0edcb962eba464f486b40,APPROVED,2022-11-23T15:33:33.958000Z,2022-11-23T16:01:27.927000Z,2022-11-23T16:01:46.295000Z,2022-11-23T16:01:53.599921Z,1674,C17FQB5L,1602,English,Technical/community college,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637e3d576a09b1aaccd82c57,5d6e570e8c129300166dba20,APPROVED,2022-11-23T15:34:40.749000Z,2022-11-23T16:00:22.969000Z,2022-11-23T16:00:26.483000Z,2022-11-23T16:00:26.606657Z,1543,C17FQB5L,166,English,High school diploma/A-levels,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637e3d5a3c9263c277b3787c,5c4a061161db8c00015e4fb0,APPROVED,2022-11-23T15:33:53.220000Z,2022-11-23T15:55:27.198000Z,2022-11-23T15:55:27.841000,2022-11-23T15:55:27.762074Z,1294,C17FQB5L,1783,English,Undergraduate degree (BA/BSc/other),47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637e3d5d9ceee7d8ee8095bf,5e9d6cc45c16f00273b05f93,APPROVED,2022-11-23T15:33:53.961000Z,2022-11-23T15:50:32.696000Z,2022-11-23T15:50:33.230000,2022-11-23T15:50:33.155269Z,999,C17FQB5L,501,English,High school diploma/A-levels,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
637e3d5fddde92281cc0d797,5ba42e35984ec30001c6018d,APPROVED,2022-11-23T15:35:16.877000Z,2022-11-23T16:15:34.123000Z,2022-11-23T16:15:34.617000,2022-11-23T16:15:34.525424Z,2418,C17FQB5L,859,"English, Turkish",Graduate degree (MA/MSc/MPhil/other),41,Female,White,Turkey,United Kingdom,United Kingdom,Turkish,No,Full-Time
637e3d6088ed048bcc030bb8,5f919274b5383b00096b0295,APPROVED,2022-11-23T15:34:17.289000Z,2022-11-23T15:52:35.404000Z,2022-11-23T15:52:35.847000,2022-11-23T15:52:35.751096Z,1099,C17FQB5L,962,"Turkish, English",Graduate degree (MA/MSc/MPhil/other),30,Female,White,Turkey,United Kingdom,Turkey,Turkish,Yes,Full-Time
637e3d6daa97bb96128bd2ae,59f3a778b47dfc0001b65cf9,APPROVED,2022-11-23T15:34:13.545000Z,2022-11-23T15:56:45.631000Z,2022-11-23T15:56:46.193000,2022-11-23T15:56:46.095172Z,1353,C17FQB5L,1179,English,Undergraduate degree (BA/BSc/other),30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637e3d6dc55d4b85cc047f60,59f604fc9618dc0001d33ccd,APPROVED,2022-11-23T15:36:37.404000Z,2022-11-23T15:51:21.541000Z,2022-11-23T15:51:22.065000,2022-11-23T15:51:21.981145Z,885,C17FQB5L,71,English,Graduate degree (MA/MSc/MPhil/other),24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637e3d6e0224b568c2233f10,5f0a414ff08fe631710e3ce8,APPROVED,2022-11-23T15:34:06.032000Z,2022-11-23T16:31:31.006000Z,2022-11-23T16:31:32.068000,2022-11-23T16:31:31.993600Z,3445,C17FQB5L,1276,English,Graduate degree (MA/MSc/MPhil/other),41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637e3d6e2008988a4ad04958,5e170347afb7a7011c36d842,APPROVED,2022-11-23T15:34:06.664000Z,2022-11-23T15:50:08.786000Z,2022-11-23T15:50:10.088000Z,2022-11-23T15:50:10.949535Z,963,C17FQB5L,1100,English,Graduate degree (MA/MSc/MPhil/other),62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637e3d6f5b7b7085dc1c5da1,5c1da6adaaf13200014292cc,APPROVED,2022-11-23T15:34:29.199000Z,2022-11-23T15:53:03.571000Z,2022-11-23T15:53:04.076000,2022-11-23T15:53:04.007161Z,1115,C17FQB5L,568,English,High school diploma/A-levels,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
637e3d6fcffeffdb5d619057,5eadaff848b26f4483ae62d9,APPROVED,2022-11-23T15:34:22.748000Z,2022-11-23T15:49:55.700000Z,2022-11-23T15:49:56.233000,2022-11-23T15:49:56.134625Z,933,C17FQB5L,1705,English,Technical/community college,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637e3feb628c1894432f5041,61588a883213fd00ccae7c21,APPROVED,2022-11-23T15:45:14.444000Z,2022-11-23T16:03:40.940000Z,2022-11-23T16:03:41.676000,2022-11-23T16:03:41.591381Z,1107,C17FQB5L,265,"English, Gaelic",Undergraduate degree (BA/BSc/other),29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
