Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63809b06c7147a7a6d459fe0,5e35373e1ddb124e6c306747,APPROVED,2022-11-25T10:38:00.250000Z,2022-11-25T10:55:56.668000Z,2022-11-25T10:55:57.485000,2022-11-25T10:55:57.409296Z,1077,C17FQB5L,970,English,Technical/community college,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
63809b07ca0611d01d8095d6,5baa3265c0a8c000014bea73,APPROVED,2022-11-25T10:38:03.033000Z,2022-11-25T11:22:21.988000Z,2022-11-25T11:22:22.477000,2022-11-25T11:22:22.388898Z,2659,C17FQB5L,1001,"English, Hindi",Undergraduate degree (BA/BSc/other),29,Male,Asian,United Kingdom,United Kingdom,United Kingdom,Hindi,Yes,Other
63809b0b613fd417b42b2a3e,5cf656e90acc8f000147f643,APPROVED,2022-11-25T10:38:03.932000Z,2022-11-25T10:57:45.228000Z,2022-11-25T10:57:45.642000,2022-11-25T10:57:45.566623Z,1182,C17FQB5L,1532,English,Technical/community college,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63809b0e025919e3f8910c62,5efcd984f7176d0e6a59dd17,APPROVED,2022-11-25T10:38:06.072000Z,2022-11-25T11:00:33.961000Z,2022-11-25T11:00:34.447000,2022-11-25T11:00:34.381805Z,1348,C17FQB5L,785,English,Undergraduate degree (BA/BSc/other),35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63809b10019be706fc9305bb,6321decd01d759ccbe3a26b3,APPROVED,2022-11-25T10:43:54.415000Z,2022-11-25T11:13:24.092000Z,2022-11-25T11:13:25.061000,2022-11-25T11:13:24.977925Z,1770,C17FQB5L,159,"English, Gujarati",Technical/community college,44,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63809b10dc24268967233f32,609d81679bcff493c7d143de,APPROVED,2022-11-25T10:38:08.580000Z,2022-11-25T11:34:14.076000Z,2022-11-25T11:34:14.598000,2022-11-25T11:34:14.522438Z,3366,C17FQB5L,762,English,Undergraduate degree (BA/BSc/other),54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63809b113657654197c1c948,5aeb063b2f05b500013028a0,APPROVED,2022-11-25T10:38:09.643000Z,2022-11-25T11:01:52.492000Z,2022-11-25T11:01:52.952000,2022-11-25T11:01:52.866954Z,1423,C17FQB5L,1054,"English, Romanian",Graduate degree (MA/MSc/MPhil/other),35,Female,White,Romania,United Kingdom,Romania,English,No,Full-Time
63809b1367300ca5894289ea,62fc94176ecdef3f7bd04833,APPROVED,2022-11-25T10:45:21.801000Z,2022-11-25T11:19:12.439000Z,2022-11-25T11:19:12.993000,2022-11-25T11:19:12.905612Z,2031,C17FQB5L,82,English,Undergraduate degree (BA/BSc/other),36,Male,White,Australia,United Kingdom,United Kingdom,English,No,Full-Time
63809b1380a924c3105327bc,5b7ffeeb05fbbd00016aa0bc,APPROVED,2022-11-25T10:38:11.360000Z,2022-11-25T10:54:43.535000Z,2022-11-25T10:54:44.028000,2022-11-25T10:54:43.960379Z,993,C17FQB5L,800,English,Graduate degree (MA/MSc/MPhil/other),42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
63809b13fa66788f25047f3a,5f84e472052cf81ae5752252,APPROVED,2022-11-25T10:38:17.600000Z,2022-11-25T11:01:53.144000Z,2022-11-25T11:01:53.629000,2022-11-25T11:01:53.558207Z,1416,C17FQB5L,980,"English, French",Graduate degree (MA/MSc/MPhil/other),32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63809b14050799e396d9e182,63468b5809bf04222262bfed,APPROVED,2022-11-25T10:38:26.901000Z,2022-11-25T10:57:58.074000Z,2022-11-25T10:57:58.641000,2022-11-25T10:57:58.550037Z,1172,C17FQB5L,145,English,Technical/community college,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63809b14122db0c1c622ea66,5f689679cc2af84fa2c57263,APPROVED,2022-11-25T10:38:25.560000Z,2022-11-25T10:56:59.938000Z,2022-11-25T10:57:00.395000,2022-11-25T10:57:00.318475Z,1115,C17FQB5L,644,English,Undergraduate degree (BA/BSc/other),35,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
63809b141658cb34399b9c79,57dd3b0e91b7fc0001493db9,APPROVED,2022-11-25T10:39:48.477000Z,2022-11-25T11:02:36.783000Z,2022-11-25T11:02:37.281000,2022-11-25T11:02:37.200226Z,1369,C17FQB5L,1034,English,Technical/community college,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63809b1429ae88f9ea8bd2b5,5e19d095c5d2902507755956,APPROVED,2022-11-25T10:39:58.451000Z,2022-11-25T10:57:52.422000Z,2022-11-25T10:57:52.898000,2022-11-25T10:57:52.811522Z,1074,C17FQB5L,305,English,Graduate degree (MA/MSc/MPhil/other),25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63809b15122db0c1c622ea67,5ae608ca02d85e00017db18d,APPROVED,2022-11-25T10:38:13.455000Z,2022-11-25T10:57:51.276000Z,2022-11-25T10:57:51.724000,2022-11-25T10:57:51.651458Z,1178,C17FQB5L,1680,English,Undergraduate degree (BA/BSc/other),57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
