Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6380ae47af167645c12f5027,5927ee603497ad00010171c2,APPROVED,2022-11-25T12:00:24.759000Z,2022-11-25T12:16:22.833000Z,2022-11-25T12:16:23.385000,2022-11-25T12:16:23.313655Z,959,C17FQB5L,1369,English,High school diploma/A-levels,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380ae483535a8ab6da552eb,59e39cc9c0d35a0001294f20,APPROVED,2022-11-25T12:00:59.236000Z,2022-11-25T12:25:10.846000Z,2022-11-25T12:25:11.424000,2022-11-25T12:25:11.345815Z,1452,C17FQB5L,2177,English,Undergraduate degree (BA/BSc/other),69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380ae483608c910278ff286,5bc08c345e8a950001892156,APPROVED,2022-11-25T12:00:30.486000Z,2022-11-25T12:17:12.382000Z,2022-11-25T12:17:12.899000,2022-11-25T12:17:12.816826Z,1002,C17FQB5L,1696,English,High school diploma/A-levels,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380ae4acc9e3f95ff45a041,5ea954a1550e7902833cece8,APPROVED,2022-11-25T12:02:08.358000Z,2022-11-25T12:29:42.110000Z,2022-11-25T12:29:42.553000,2022-11-25T12:29:42.475985Z,1654,C17FQB5L,265,"English, Japanese",Undergraduate degree (BA/BSc/other),21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae4b1f663c046d969bf8,5a102e9dfdf6fc0001279561,APPROVED,2022-11-25T12:00:19.018000Z,2022-11-25T12:21:47.678000Z,2022-11-25T12:21:48.102000,2022-11-25T12:21:48.031181Z,1289,C17FQB5L,1662,English,Graduate degree (MA/MSc/MPhil/other),37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae4c001f16dc8622ea1c,5b100cb0a3553300017541c8,APPROVED,2022-11-25T12:00:16.830000Z,2022-11-25T12:22:39.414000Z,2022-11-25T12:22:40.033000,2022-11-25T12:22:39.927369Z,1343,C17FQB5L,1728,English,Undergraduate degree (BA/BSc/other),63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380ae4c3d641a083c22e9fc,5e766b0ba02ca51dfa1de797,APPROVED,2022-11-25T12:01:39.035000Z,2022-11-25T12:20:42.813000Z,2022-11-25T12:20:43.410000,2022-11-25T12:20:43.311941Z,1144,C17FQB5L,895,English,Graduate degree (MA/MSc/MPhil/other),59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380ae4c7057cc7244233f23,56afa11aabec410005a56534,APPROVED,2022-11-25T12:08:11.082000Z,2022-11-25T12:25:46.299000Z,2022-11-25T12:25:46.790000,2022-11-25T12:25:46.721945Z,1056,C17FQB5L,820,"English, French",Undergraduate degree (BA/BSc/other),27,Female,White,France,United Kingdom,France,English,No,Full-Time
6380ae4d2078097b2cd049a9,5ace11dc35eccf0001a115fe,APPROVED,2022-11-25T12:02:20.880000Z,2022-11-25T12:22:45.383000Z,2022-11-25T12:22:45.898000,2022-11-25T12:22:45.819215Z,1225,C17FQB5L,1666,English,High school diploma/A-levels,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae4da4cc36d8d74289c7,5e89ba09ec9b3364b1fc0bd1,APPROVED,2022-11-25T12:00:15.181000Z,2022-11-25T12:35:36.550000Z,2022-11-25T12:35:37.075000,2022-11-25T12:35:37.005907Z,2122,C17FQB5L,961,English,Technical/community college,43,Male,White,United States,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380ae4db28049df5b98a06f,5f3e6a07e06e71069f919082,APPROVED,2022-11-25T12:00:19.610000Z,2022-11-25T12:19:22.120000Z,2022-11-25T12:19:22.623000,2022-11-25T12:19:22.546052Z,1143,C17FQB5L,1092,English,Undergraduate degree (BA/BSc/other),31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae4f2565f7ce2d98a075,59e675a6c0d35a00012951ce,APPROVED,2022-11-25T12:00:21.312000Z,2022-11-25T12:21:16.752000Z,2022-11-25T12:21:21.590000,2022-11-25T12:21:21.490211Z,1256,C17FQB5L,709,English,Undergraduate degree (BA/BSc/other),47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6380ae4f3cc811f9cd7e8d58,5d0c90dc3382180015624ad9,APPROVED,2022-11-25T12:00:22.825000Z,2022-11-25T12:24:48.501000Z,2022-11-25T12:24:48.977000,2022-11-25T12:24:48.885134Z,1466,C17FQB5L,1617,English,Technical/community college,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae4f714bb3779d9b9c34,5a0c036857cee70001767a58,APPROVED,2022-11-25T12:00:15.506000Z,2022-11-25T12:23:40.719000Z,2022-11-25T12:23:41.245000,2022-11-25T12:23:41.173120Z,1406,C17FQB5L,1694,English,Graduate degree (MA/MSc/MPhil/other),52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380ae501cc5dd6dbec0d70a,559bbbdafdf99b7ce19d5b3d,APPROVED,2022-11-25T12:02:16.466000Z,2022-11-25T12:16:20.710000Z,2022-11-25T12:16:21.220000,2022-11-25T12:16:21.142922Z,845,C17FQB5L,2537,English,High school diploma/A-levels,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae508f259a9e6cc681e6,5be7752e66e3d1000103957f,APPROVED,2022-11-25T12:00:16.396000Z,2022-11-25T12:23:14.649000Z,2022-11-25T12:23:15.099000,2022-11-25T12:23:15.024213Z,1379,C17FQB5L,465,English,Undergraduate degree (BA/BSc/other),55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6380ae51090eb6bd9fb32595,5f522c40069004482b3af322,APPROVED,2022-11-25T12:00:17.151000Z,2022-11-25T12:27:55.491000Z,2022-11-25T12:27:55.963000,2022-11-25T12:27:55.884614Z,1659,C17FQB5L,1324,"English, Farsi",Doctorate degree (PhD/other),34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae5135ea92bcf6d9e1ca,575b2b408b705300078ae5e6,APPROVED,2022-11-25T12:00:19.448000Z,2022-11-25T12:23:25.559000Z,2022-11-25T12:23:26.076000,2022-11-25T12:23:25.997075Z,1387,C17FQB5L,2542,English,High school diploma/A-levels,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae51a607c1afe6075c04,601e028aea41df251254119a,APPROVED,2022-11-25T12:00:17.064000Z,2022-11-25T12:24:42.539000Z,2022-11-25T12:24:42.999000,2022-11-25T12:24:42.916310Z,1466,C17FQB5L,1006,English,Technical/community college,32,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380ae51b28049df5b98a070,5e2c8f69cad44b2bc5ce9a34,APPROVED,2022-11-25T12:00:17.989000Z,2022-11-25T12:19:37.292000Z,2022-11-25T12:19:37.759000,2022-11-25T12:19:37.659520Z,1160,C17FQB5L,59,English,Technical/community college,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
