Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6380be08370c39fd1dd9e1ee,58404fd8ad98e40001ce915f,APPROVED,2022-11-25T13:07:36.067000Z,2022-11-25T13:31:11.132000Z,2022-11-25T13:31:11.829000,2022-11-25T13:31:11.743604Z,1416,C17FQB5L,1844,English,Technical/community college,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380be08af903f4db7618feb,5f8b4560fc6686262722efdb,APPROVED,2022-11-25T13:07:23.412000Z,2022-11-25T13:25:36.032000Z,2022-11-25T13:25:36.499000Z,2022-11-25T13:25:36.946322Z,1093,C17FQB5L,707,English,High school diploma/A-levels,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6380be0a95a15bbdb6bab6c7,5ccc76bbc7508d0017d35954,APPROVED,2022-11-25T13:07:24.307000Z,2022-11-25T13:30:23.477000Z,2022-11-25T13:30:24.020000,2022-11-25T13:30:23.928900Z,1380,C17FQB5L,945,English,Undergraduate degree (BA/BSc/other),34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380be0b4611ffaefa233f03,56b78f11e77ebe000cbefe79,APPROVED,2022-11-25T13:07:23.844000Z,2022-11-25T13:28:43.212000Z,2022-11-25T13:28:43.741000,2022-11-25T13:28:43.660537Z,1280,C17FQB5L,3121,English,Undergraduate degree (BA/BSc/other),57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6380be0c103a53e99c61901f,59497c498fb2140001afda85,APPROVED,2022-11-25T13:07:30.622000Z,2022-11-25T13:22:15.847000Z,2022-11-25T13:22:16.544000,2022-11-25T13:22:16.443650Z,886,C17FQB5L,692,English,High school diploma/A-levels,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380be0cc41ea713ca22e9f9,614c5dc3cda534db7afc2e73,APPROVED,2022-11-25T13:07:26.916000Z,2022-11-25T13:32:35.312000Z,2022-11-25T13:32:36.190000,2022-11-25T13:32:36.106855Z,1509,C17FQB5L,761,English,Undergraduate degree (BA/BSc/other),64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6380be0fdc86a143fb9305dc,6085a4cc5f5f9ba1a3bfd785,APPROVED,2022-11-25T13:07:27.667000Z,2022-11-25T13:23:36.925000Z,2022-11-25T13:23:37.511000,2022-11-25T13:23:37.412220Z,970,C17FQB5L,851,English,High school diploma/A-levels,19,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6380be107657603afdfbc3ba,62c5c6430467d6c7b9147667,APPROVED,2022-11-25T13:07:31.188000Z,2022-11-25T13:49:58.330000Z,2022-11-25T13:49:58.990000,2022-11-25T13:49:58.897764Z,2548,C17FQB5L,100,English,Graduate degree (MA/MSc/MPhil/other),27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6380be10aa9aa1a0959b9c9b,5d8e154af2858200171fdb95,APPROVED,2022-11-25T13:07:30.626000Z,2022-11-25T13:26:53.994000Z,2022-11-25T13:26:54.562000,2022-11-25T13:26:54.462238Z,1164,C17FQB5L,1228,English,Undergraduate degree (BA/BSc/other),36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6380be10d7a6abe6889b9c75,5f0788c06b220f03231666a0,APPROVED,2022-11-25T13:07:37.439000Z,2022-11-25T13:31:01.863000Z,2022-11-25T13:31:02.382000,2022-11-25T13:31:02.301515Z,1405,C17FQB5L,584,English,Graduate degree (MA/MSc/MPhil/other),62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6380be125a2dc90732428a0d,5bef213956a3210001067bc2,APPROVED,2022-11-25T13:14:54.871000Z,2022-11-25T13:40:10.482000Z,2022-11-25T13:40:11.085000,2022-11-25T13:40:11.005117Z,1516,C17FQB5L,701,English,Undergraduate degree (BA/BSc/other),33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380be125a4bb5e158618fed,5478e52cfdf99b5322cf7f7b,APPROVED,2022-11-25T13:07:30.337000Z,2022-11-25T13:23:10.840000Z,2022-11-25T13:23:11.353000,2022-11-25T13:23:11.278713Z,941,C17FQB5L,879,English,Technical/community college,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380be12aa9aa1a0959b9c9c,60d557b55c55abe0ab9dc3f7,APPROVED,2022-11-25T13:07:39.222000Z,2022-11-25T13:30:03.758000Z,2022-11-25T13:30:04.209000,2022-11-25T13:30:04.135328Z,1345,C17FQB5L,803,English,Undergraduate degree (BA/BSc/other),47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380be12adf59213946fb154,60cf52fe3e92521f36031191,APPROVED,2022-11-25T13:07:46.913000Z,2022-11-25T13:23:12.576000Z,2022-11-25T13:23:13.077000,2022-11-25T13:23:13.005941Z,926,C17FQB5L,144,English,Undergraduate degree (BA/BSc/other),22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6380be12c3f40f076fd0495e,636a504d8d0b8b1dc90ef2af,REJECTED,2022-11-25T13:08:12.579000Z,2022-11-25T13:08:46.142000Z,2022-11-25T13:16:08.325000Z,2022-11-25T13:08:46.628000Z,34,636a504d8d0b8b1dc90ef2af,25,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6380be12d06b0ecebf8bd2cf,5b75ac687dc4b00001af4e50,APPROVED,2022-11-25T13:07:30.969000Z,2022-11-25T13:26:42.390000Z,2022-11-25T13:26:42.855000,2022-11-25T13:26:42.782889Z,1152,C17FQB5L,1108,English,Technical/community college,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6380be131dacbe7df2c1c916,5e93138a7d69590115fa1e21,APPROVED,2022-11-25T13:07:48.749000Z,2022-11-25T13:40:24.289000Z,2022-11-25T13:40:24.819000,2022-11-25T13:40:24.749933Z,1956,C17FQB5L,1316,English,Undergraduate degree (BA/BSc/other),66,Male,White,Germany,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380be14675c625a79030bd7,629f2dccc6e91be06559e2f1,APPROVED,2022-11-25T13:10:50.101000Z,2022-11-25T13:25:34.780000Z,2022-11-25T13:25:35.324000,2022-11-25T13:25:35.247120Z,885,C17FQB5L,455,English,Graduate degree (MA/MSc/MPhil/other),34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380be1474a8e980ce047ef9,5c42f9388bb6fd000163d1b4,APPROVED,2022-11-25T13:07:38.142000Z,2022-11-25T13:32:58.753000Z,2022-11-25T13:32:59.311000,2022-11-25T13:32:59.225959Z,1521,C17FQB5L,318,"English, French",Technical/community college,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6380be15da5e45d013c6820e,5e4da2248f2be10718acf61b,APPROVED,2022-11-25T13:16:14.925000Z,2022-11-25T13:43:31.608000Z,2022-11-25T13:43:32.137000,2022-11-25T13:43:32.065435Z,1637,C17FQB5L,1078,"Italian, English",Undergraduate degree (BA/BSc/other),38,Male,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
6380be168ab8ea82d4d9e1d3,5ef722c333956242acf17935,APPROVED,2022-11-25T13:07:34.655000Z,2022-11-25T13:29:09.635000Z,2022-11-25T13:29:10.311000,2022-11-25T13:29:10.243509Z,1295,C17FQB5L,823,"English, Tamil",Doctorate degree (PhD/other),30,Female,Asian,India,United Kingdom,India,Tamil,DATA_EXPIRED,DATA_EXPIRED
6380be17732777ce4645a020,63039f41fa5c21d483996be2,APPROVED,2022-11-25T13:07:39.827000Z,2022-11-25T13:33:39.229000Z,2022-11-25T13:33:39.724000,2022-11-25T13:33:39.644176Z,1560,C17FQB5L,244,English,Technical/community college,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380be1874c75b75a52f4fc9,62a737b12cc61f784c4aab36,APPROVED,2022-11-25T13:07:40.176000Z,2022-11-25T13:59:08.871000Z,2022-11-25T13:59:09.379000,2022-11-25T13:59:09.287944Z,3089,C17FQB5L,219,"English, Other",Graduate degree (MA/MSc/MPhil/other),34,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
6380be1915f4473647e37ac5,628f7669ee68aabf3930123b,APPROVED,2022-11-25T13:07:40.549000Z,2022-11-25T13:28:02.915000Z,2022-11-25T13:28:03.420000,2022-11-25T13:28:03.333872Z,1223,C17FQB5L,421,English,Undergraduate degree (BA/BSc/other),38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380be19267be3be5ea552df,59bb9e3a178f1b0001828b12,APPROVED,2022-11-25T13:12:49.972000Z,2022-11-25T14:12:54.631000Z,2022-11-25T14:12:55.288000,2022-11-25T14:12:55.221167Z,3605,C17FQB5L,1763,English,Undergraduate degree (BA/BSc/other),79,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6380be1999ada767778bd2c7,5988055f631d0c000149a5ac,APPROVED,2022-11-25T13:07:39.554000Z,2022-11-25T13:57:06.454000Z,2022-11-25T13:57:07.052000,2022-11-25T13:57:06.968861Z,2967,C17FQB5L,1066,English,Technical/community college,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380be19fabeb126a6c0d725,631f3b0501e9739c61c03255,APPROVED,2022-11-25T13:12:00.401000Z,2022-11-25T13:30:56.330000Z,2022-11-25T13:30:56.808000,2022-11-25T13:30:56.724027Z,1136,C17FQB5L,180,English,Graduate degree (MA/MSc/MPhil/other),39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6380be1a1062e8a0c9c681ae,634d7250a9dbe47b2b1d110f,APPROVED,2022-11-25T13:07:45.648000Z,2022-11-25T13:26:47.057000Z,2022-11-25T13:26:47.531000,2022-11-25T13:26:47.456743Z,1142,C17FQB5L,62,English,Graduate degree (MA/MSc/MPhil/other),36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6380be1ab9ad5052087e8d2a,62b8cd151b5fd0f9be7d1f11,APPROVED,2022-11-25T13:07:53.521000Z,2022-11-25T13:25:46.751000Z,2022-11-25T13:25:47.318000,2022-11-25T13:25:47.226383Z,1074,C17FQB5L,403,English,Undergraduate degree (BA/BSc/other),30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6380be1af8b1a034fb459fd7,63068110447ef1aaa9660816,APPROVED,2022-11-25T13:07:52.537000Z,2022-11-25T13:26:38.656000Z,2022-11-25T13:26:39.230000,2022-11-25T13:26:39.155533Z,1127,C17FQB5L,188,English,High school diploma/A-levels,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6380c01d1062e8a0c9c681f9,616fd2048c982b1d27653870,APPROVED,2022-11-25T13:16:19.092000Z,2022-11-25T13:34:48.712000Z,2022-11-25T13:34:49.143000,2022-11-25T13:34:49.074747Z,1110,C17FQB5L,371,English,High school diploma/A-levels,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
