Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638216040d49764f1b809593,543e85adfdf99b7356902e90,APPROVED,2022-11-26T13:35:14.021000Z,2022-11-26T13:54:40.082000Z,2022-11-26T13:54:40.635000,2022-11-26T13:54:40.564359Z,1167,C17FQB5L,3142,English,Undergraduate degree (BA/BSc/other),50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63821607280ac488816fb183,5d519a9df20feb00180b62bc,APPROVED,2022-11-26T13:35:03.800000Z,2022-11-26T14:05:21.529000Z,2022-11-26T14:05:22.044000,2022-11-26T14:05:21.966148Z,1818,C17FQB5L,334,English,Undergraduate degree (BA/BSc/other),30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6382160737b235dad4f7e08e,6061ef11da123a1d9e55c6c8,APPROVED,2022-11-26T13:35:05.557000Z,2022-11-26T14:08:53.243000Z,2022-11-26T14:08:53.773000,2022-11-26T14:08:53.686051Z,2028,C17FQB5L,921,English,Graduate degree (MA/MSc/MPhil/other),39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
638216078a3834e20216326d,572a04726fe43d000f0491de,APPROVED,2022-11-26T13:35:33.518000Z,2022-11-26T13:52:54.115000Z,2022-11-26T13:52:54.572000,2022-11-26T13:52:54.473118Z,1041,C17FQB5L,2438,English,Undergraduate degree (BA/BSc/other),27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63821608a540ef7f62428a21,5a0a057c80acd80001047392,APPROVED,2022-11-26T13:35:09.854000Z,2022-11-26T13:50:17.596000Z,2022-11-26T13:50:18.108000,2022-11-26T13:50:18.032299Z,908,C17FQB5L,803,English,Technical/community college,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6382160914e672b27a9179bf,5c4f5967aac8be0001716a65,APPROVED,2022-11-26T13:35:05.565000Z,2022-11-26T13:54:43.090000Z,2022-11-26T13:54:43.616000,2022-11-26T13:54:43.521822Z,1178,C17FQB5L,1392,English,Undergraduate degree (BA/BSc/other),31,Male,White,Ireland,United Kingdom,Ireland,English,Yes,Full-Time
638216095cf72c93df22ea03,5b1efc25bdf4e1000163af46,APPROVED,2022-11-26T13:35:06.960000Z,2022-11-26T13:52:21.135000Z,2022-11-26T13:52:21.807000,2022-11-26T13:52:21.723116Z,1035,C17FQB5L,1841,English,Undergraduate degree (BA/BSc/other),35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6382160fa337c76fc29305ab,593ead9ea514380001e5cf86,APPROVED,2022-11-26T13:35:11.375000Z,2022-11-26T13:59:08.766000Z,2022-11-26T13:59:09.276000,2022-11-26T13:59:09.205969Z,1438,C17FQB5L,2001,English,Undergraduate degree (BA/BSc/other),60,Female,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
638216103dd45289b4c0d738,5d8cef3c28e183001a335ab0,APPROVED,2022-11-26T13:35:16.707000Z,2022-11-26T13:52:46.007000Z,2022-11-26T13:52:46.513000,2022-11-26T13:52:46.448237Z,1050,C17FQB5L,2260,English,Undergraduate degree (BA/BSc/other),33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638216113f41f86794bab64a,57655a2aea19ef00016351cf,APPROVED,2022-11-26T13:35:13.311000Z,2022-11-26T13:55:06.506000Z,2022-11-26T13:55:07.173000,2022-11-26T13:55:07.092020Z,1194,C17FQB5L,1848,English,Undergraduate degree (BA/BSc/other),50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
