Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63822c190d91ce2f098bd335,5e3891a0ffe78b000a8a4124,APPROVED,2022-11-26T15:09:13.896000Z,2022-11-26T15:47:10.701000Z,2022-11-26T15:47:11.258000,2022-11-26T15:47:11.187840Z,2277,C17FQB5L,817,English,Undergraduate degree (BA/BSc/other),54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
63822c1b7517a57780619009,5cc53cf3291607001757c712,APPROVED,2022-11-26T15:09:15.662000Z,2022-11-26T15:35:47.915000Z,2022-11-26T15:35:48.452000,2022-11-26T15:35:48.364042Z,1593,C17FQB5L,1380,English,Graduate degree (MA/MSc/MPhil/other),59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63822c1dfafa20fd7dfbc3d8,5f0874db34894f07bd04f436,APPROVED,2022-11-26T15:09:20.569000Z,2022-11-26T15:38:44.314000Z,2022-11-26T15:38:44.789000,2022-11-26T15:38:44.706992Z,1764,C17FQB5L,669,"English, Gaelic",Graduate degree (MA/MSc/MPhil/other),43,Male,White,United Kingdom,United Kingdom,Ireland,English,No,Unemployed (and job seeking)
63822c1e06fd362a2198a097,5c5a0ec41bf09700015ca517,APPROVED,2022-11-26T15:09:18.184000Z,2022-11-26T15:34:24.243000Z,2022-11-26T15:34:24.685000,2022-11-26T15:34:24.614421Z,1507,C17FQB5L,371,English,High school diploma/A-levels,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
63822c1e3349533769c681c9,62e462cbd8f4226e10b998bd,APPROVED,2022-11-26T15:10:12.093000Z,2022-11-26T16:26:59.927000Z,2022-11-26T16:27:00.725000,2022-11-26T16:27:00.639366Z,4608,C17FQB5L,207,English,Undergraduate degree (BA/BSc/other),28,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63822c1e4075a86e95f7e0e4,5f8ece6117db5206eafc8b73,APPROVED,2022-11-26T15:09:33.496000Z,2022-11-26T15:35:24.353000Z,2022-11-26T15:35:24.816000,2022-11-26T15:35:24.734004Z,1551,C17FQB5L,350,English,Undergraduate degree (BA/BSc/other),64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
63822c1f1a364a9c279b9c81,56cf6e8d31a5bc0006e1cdf5,APPROVED,2022-11-26T15:09:31.836000Z,2022-11-26T15:30:09.173000Z,2022-11-26T15:30:09.612000,2022-11-26T15:30:09.517579Z,1238,C17FQB5L,2455,English,Doctorate degree (PhD/other),67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63822c1f831c7a72f58ff265,6347200d8ded5172ec43e0bb,APPROVED,2022-11-26T15:09:27.609000Z,2022-11-26T15:50:20.194000Z,2022-11-26T15:50:20.639000,2022-11-26T15:50:20.569312Z,2453,C17FQB5L,98,"English, German",Undergraduate degree (BA/BSc/other),33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63822c1fbea916a0f0030bd0,55b765befdf99b0416ce5382,APPROVED,2022-11-26T15:09:53.687000Z,2022-11-26T15:28:38.591000Z,2022-11-26T15:28:39.133000,2022-11-26T15:28:39.062789Z,1125,C17FQB5L,153,English,Undergraduate degree (BA/BSc/other),28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63822c1fe19e156b8298a04c,5ca9f8926025570001c872f3,APPROVED,2022-11-26T15:09:19.212000Z,2022-11-26T15:35:16.402000Z,2022-11-26T15:35:16.904000,2022-11-26T15:35:16.823368Z,1558,C17FQB5L,1572,English,High school diploma/A-levels,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
63822c208333b4b8a7c1c98a,615734b16b50355d4521f849,APPROVED,2022-11-26T15:09:24.763000Z,2022-11-26T15:46:17.512000Z,2022-11-26T15:46:17.931000,2022-11-26T15:46:17.862221Z,2213,C17FQB5L,658,English,Undergraduate degree (BA/BSc/other),22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63822c20b132600e9ad049f0,5ea057b821f4e400081b71a7,APPROVED,2022-11-26T15:09:23.067000Z,2022-11-26T15:29:45.114000Z,2022-11-26T15:29:46.130000,2022-11-26T15:29:46.058556Z,1223,C17FQB5L,1176,English,Graduate degree (MA/MSc/MPhil/other),65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63822c20e60189cd1fe37aa0,62b4370c9a89e5a09c4447de,APPROVED,2022-11-26T15:09:24.533000Z,2022-11-26T15:50:42.079000Z,2022-11-26T15:50:42.630000,2022-11-26T15:50:42.547148Z,2478,C17FQB5L,292,English,Undergraduate degree (BA/BSc/other),40,Female,Asian,United Kingdom,United Kingdom,United Kingdom,DATA_EXPIRED,No,Part-Time
63822c21ac6c6df3192f4fe4,572f526c3c27e7000e0b8aaa,APPROVED,2022-11-26T15:10:07.429000Z,2022-11-26T15:38:37.568000Z,2022-11-26T15:38:38.077000,2022-11-26T15:38:38.000238Z,1711,C17FQB5L,3293,English,Undergraduate degree (BA/BSc/other),32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
63822c2246fcf74538b3780d,573dbfc9cc30e7000dc57410,APPROVED,2022-11-26T15:09:30.159000Z,2022-11-26T15:37:09.119000Z,2022-11-26T15:37:10.169000,2022-11-26T15:37:10.087470Z,1659,C17FQB5L,1487,English,Undergraduate degree (BA/BSc/other),57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63822c22a670cb27c4075c6c,6278270bfb2439bf3abf192d,APPROVED,2022-11-26T15:09:22.173000Z,2022-11-26T15:37:31.442000Z,2022-11-26T15:37:31.857000,2022-11-26T15:37:31.778281Z,1690,C17FQB5L,476,English,High school diploma/A-levels,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63822c22a670cb27c4075c6d,5c921106b788a2000170709f,APPROVED,2022-11-26T15:09:22.588000Z,2022-11-26T15:27:05.507000Z,2022-11-26T15:27:06.025000,2022-11-26T15:27:05.945431Z,1063,C17FQB5L,1243,English,High school diploma/A-levels,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
63822c22bea916a0f0030bd1,605a7d4573560179e04af547,APPROVED,2022-11-26T15:09:43.942000Z,2022-11-26T15:23:40.945000Z,2022-11-26T15:23:41.473000,2022-11-26T15:23:41.378778Z,838,C17FQB5L,44,English,Undergraduate degree (BA/BSc/other),22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
63822c238a8f9ec91f45a034,5a8185b8aa46dd00016b80d6,APPROVED,2022-11-26T15:12:38.762000Z,2022-11-26T15:39:21.214000Z,2022-11-26T15:39:21.899000,2022-11-26T15:39:21.804812Z,1603,C17FQB5L,1396,English,Undergraduate degree (BA/BSc/other),51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63822c239463ad7b76bab6bc,60c20abfdccab926283d8f7f,APPROVED,2022-11-26T15:10:43.872000Z,2022-11-26T15:26:17.961000Z,2022-11-26T15:26:18.414000,2022-11-26T15:26:18.336477Z,935,C17FQB5L,821,English,High school diploma/A-levels,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
