label,loss_amount,round_number,purchased_coverage,random_number,state,timer_faq_choiceaffectsprice,timer_faq_howitworks,timer_faq_noinsurance,timer_faq_coverage,timer_char7,timer_char4,timer_char3,timer_char2,timer_char1,insurance,WTP,belief,prob,var4,var3,var2,var1,number_entered,result_risk,session.code,treatment,age,gender,smoker,health,exercisedays,exercisehours,insurancehealth,lifeinsurance,riskdriving,riskfinance,risksport,riskjob,riskhealth,risk,final_payoff,HL_switchpoint,HLLF_switchpoint
5d3587a13e11900001093ae8,20.0,1,1.0,15.0,healthy,2142.0,30241.0,,1097.0,,24862.0,10497.0,29576.0,28098.0,15.0,17.0,59.25,0.3220395695513543,8.0,1.0,7.8731,1.0,50.0,0.0,5hy6vola,varinfo,28.0,1.0,1.0,8.0,6.0,2.0,1.0,0.0,0.0,7.0,6.0,3.0,1.0,4.0,418.0,0.0,2.0
5bbd1d04df2fb80001733d30,20.0,1,0.0,19.0,healthy,192.0,,,86.0,,,,,124.0,19.0,12.0,39.75,0.3220395695513543,8.0,1.0,7.8731,1.0,5.0,57.5,5hy6vola,fullinfo,34.0,1.0,0.0,8.0,7.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,677.5,8.0,8.0
604fa685e33606f9a0ee8189,100.0,1,0.0,51.0,healthy,2626.0,76966.0,,1284.0,,11791.0,9404.0,13797.0,12869.0,51.0,45.0,35.0,0.3220395695513543,8.0,1.0,7.8731,1.0,25.0,25.0,5hy6vola,neginfo,26.0,1.0,0.0,7.0,5.0,1.5,1.0,0.0,1.0,7.0,9.0,6.0,5.0,6.0,559.0,4.0,2.0
54258078fdf99b691fb3858e,40.0,1,0.0,4.0,healthy,4846.0,57500.0,,2348.0,9534.0,2650.0,4447.0,12437.0,10243.0,4.0,0.0,50.0,0.3220395695513543,8.0,1.0,7.8731,1.0,50.0,0.0,5hy6vola,baseline,33.0,0.0,0.0,9.0,5.0,1.0,1.0,0.0,7.0,10.0,8.0,6.0,4.0,7.0,513.0,,0.0
5e2e7ffe484f9b45e086fdc0,20.0,1,0.0,13.0,healthy,492.0,1500.0,,740.0,,22741.0,4510.0,8298.0,8292.0,13.0,0.0,35.5,0.3220395695513543,8.0,1.0,7.8731,1.0,15.0,72.5,5hy6vola,posinfo,39.0,1.0,0.0,4.0,0.0,0.5,1.0,0.0,7.0,5.0,5.0,6.0,7.0,5.0,613.5,5.0,3.0
62b57d34b7bdc2d0835fab76,80.0,1,0.0,30.0,healthy,101.0,86.0,,113.0,,,,,62.0,30.0,20.0,60.75,0.2689415536215669,4.0,1.0,2.0,1.0,0.1,49.9,5hy6vola,posinfo,55.0,1.0,0.0,9.0,0.0,0.0,1.0,1.0,6.0,9.0,8.0,5.0,7.0,8.0,519.9,7.0,6.0
6310c063bd0cce86b0289d20,20.0,1,0.0,15.0,healthy,68.0,477.0,,1193.0,,92.0,159.0,1727.0,3918.0,15.0,10.0,35.5,0.2689415536215669,4.0,1.0,2.0,1.0,50.0,125.0,5hy6vola,neginfo,25.0,0.0,0.0,8.0,4.0,1.0,1.0,0.0,4.0,8.0,8.0,2.0,7.0,5.0,705.0,5.0,4.0
5ec79cbd44972a1fceed2719,40.0,1,1.0,1.0,healthy,5509.0,34574.0,,1799.0,15851.0,23467.0,16412.0,14992.0,24757.0,1.0,8.0,18.5,0.2689415536215669,4.0,1.0,2.0,1.0,30.0,95.0,5hy6vola,baseline,62.0,0.0,0.0,10.0,2.0,2.0,1.0,0.0,1.0,5.0,7.0,3.0,2.0,4.0,746.0,7.0,7.0
5ca9bc7978958e0016c5008b,20.0,1,0.0,16.0,healthy,,,,,2583.0,774.0,424.0,1351.0,10655.0,16.0,9.0,50.0,0.2689415536215669,4.0,1.0,2.0,1.0,50.0,125.0,5hy6vola,fullinfo,46.0,0.0,0.0,3.0,4.0,0.5,1.0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,690.0,5.0,5.0
59c4f0a2916c4d000109428a,20.0,1,0.0,12.0,ill,8575.0,2457.0,,2156.0,,,,,,12.0,10.0,55.0,0.2689415536215669,4.0,1.0,2.0,1.0,0.5,49.5,5hy6vola,varinfo,40.0,0.0,1.0,6.0,3.0,1.0,1.0,0.0,6.0,8.0,10.0,8.0,2.0,6.0,506.5,6.0,0.0
62e079d42015639ea995ec87,40.0,1,0.0,13.0,healthy,1152.0,30088.0,,743.0,8622.0,26096.0,6140.0,12507.0,9813.0,13.0,0.0,21.5,0.2141651641257343,6.0,0.0,4.0,0.0,10.0,40.0,5hy6vola,fullinfo,22.0,0.0,0.0,7.0,2.0,2.0,1.0,0.0,3.0,3.0,6.0,3.0,3.0,4.0,759.0,6.0,4.0
5b258c9ba7cee100011d8aad,40.0,1,1.0,4.0,healthy,2181.0,26027.0,,1996.0,,13160.0,7877.0,22335.0,17550.0,4.0,15.0,35.0,0.2141651641257343,6.0,0.0,4.0,0.0,50.0,0.0,5hy6vola,neginfo,28.0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,0.0,7.0,3.0,5.0,3.0,5.0,519.0,8.0,7.0
62db2644ab0a3a353c0dcb54,100.0,1,1.0,29.0,healthy,4678.0,3497.0,,2506.0,,25772.0,8767.0,6825.0,16032.0,29.0,60.0,66.5,0.2141651641257343,6.0,0.0,4.0,0.0,10.0,65.0,5hy6vola,posinfo,42.0,0.0,0.0,6.0,2.0,1.5,-1.0,-1.0,0.0,5.0,6.0,5.0,2.0,6.0,573.0,7.0,5.0
62a6083829363a3be4bcea6b,80.0,1,0.0,45.0,ill,275.0,1906.0,,216.0,,,4926.0,227.0,11309.0,45.0,6.0,50.5,0.2141651641257343,6.0,0.0,4.0,0.0,25.0,87.5,5hy6vola,varinfo,27.0,1.0,0.0,8.0,5.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,6.0,539.5,4.0,3.0
5ef08aa7177a735c78ffbf40,80.0,1,1.0,17.0,ill,4466.0,1574.0,,,6249.0,9716.0,3072.0,35475.0,11061.0,17.0,45.0,50.0,0.2141651641257343,6.0,0.0,4.0,0.0,50.0,0.0,5hy6vola,baseline,21.0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,-1.0,2.0,5.0,4.0,1.0,3.0,543.0,6.0,
5ccef4423f15b900199e1ec3,20.0,1,0.0,16.0,healthy,11466.0,24829.0,,121.0,,,,,108.0,16.0,14.0,55.0,0.7359452599427667,2.0,0.0,5.5,0.0,0.0,50.0,5hy6vola,posinfo,49.0,1.0,0.0,8.0,5.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,442.0,8.0,4.0
5c43724ab00b3300018f49bf,100.0,1,0.0,57.0,ill,10480.0,30195.0,,2696.0,5921.0,7566.0,17859.0,14141.0,23732.0,57.0,40.0,47.5,0.7359452599427667,2.0,0.0,5.5,0.0,15.0,35.0,5hy6vola,baseline,24.0,1.0,0.0,7.0,3.0,2.0,1.0,0.0,0.0,6.0,6.0,2.0,6.0,4.0,609.0,6.0,3.0
5f5bb87a0093333445af65f2,40.0,1,0.0,38.0,ill,7.0,49.0,,,,17.0,16.0,18.0,116.0,38.0,12.0,44.5,0.7359452599427667,2.0,0.0,5.5,0.0,20.0,30.0,5hy6vola,varinfo,39.0,0.0,1.0,6.0,7.0,1.0,0.0,1.0,8.0,10.0,8.0,7.0,7.0,8.0,554.0,9.0,9.0
5bec91e66cb00e00015b8a7b,60.0,1,1.0,8.0,ill,1984.0,3670.0,,2334.0,,10220.0,9099.0,6235.0,1902.0,8.0,20.0,62.25,0.7359452599427667,2.0,0.0,5.5,0.0,17.0,33.0,5hy6vola,neginfo,33.0,1.0,1.0,7.0,7.0,1.0,1.0,0.0,0.0,5.0,3.0,4.0,4.0,5.0,599.0,,3.0
6278d1758a5f6d5af02d863c,60.0,1,1.0,11.0,ill,8604.0,51917.0,,3501.0,,48876.0,26915.0,199426.0,94024.0,11.0,36.0,80.25,0.9589086383106238,0.0,0.0,7.0,1.0,50.0,0.0,5hy6vola,varinfo,52.0,0.0,0.0,3.0,4.0,1.5,1.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,531.0,6.0,6.0
5755c957eb80c4000741a9ce,100.0,1,1.0,75.0,ill,2842.0,,,924.0,,,,1214.0,18793.0,75.0,75.0,89.5,0.9589086383106238,0.0,0.0,7.0,1.0,10.0,40.0,5hy6vola,neginfo,40.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,7.0,2.0,3.0,669.0,7.0,4.0
55b78162fdf99b0416ce544e,40.0,1,0.0,37.0,ill,5296.0,18968.0,,1181.0,5095.0,4049.0,10768.0,12861.0,26967.0,37.0,25.0,74.5,0.9589086383106238,0.0,0.0,7.0,1.0,20.0,30.0,5hy6vola,baseline,47.0,1.0,0.0,6.0,3.0,0.75,0.0,1.0,5.0,7.0,3.0,5.0,4.0,6.0,346.0,6.0,
5f9802a1306ea3045e8c0b43,40.0,1,1.0,9.0,ill,6963.0,14193.0,,1207.0,12445.0,6660.0,15794.0,14290.0,15151.0,9.0,20.0,71.0,0.9589086383106238,0.0,0.0,7.0,1.0,50.0,125.0,5hy6vola,fullinfo,34.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,5.0,6.0,4.0,709.0,6.0,4.0
5eff6065cc8d32014292657f,80.0,1,0.0,53.0,ill,,,,,,81.0,,2425.0,3177.0,53.0,40.0,31.0,0.9589086383106238,0.0,0.0,7.0,1.0,30.0,20.0,5hy6vola,posinfo,34.0,1.0,0.0,8.0,3.0,20.0,1.0,1.0,4.0,5.0,7.0,6.0,5.0,6.0,397.0,8.0,7.0
6001718a9125cb02cdaf26a1,60.0,1,0.0,24.0,healthy,1470.0,7614.0,,1453.0,,24838.0,3600.0,8353.0,10601.0,24.0,0.0,80.0,0.3220395695513543,8.0,1.0,7.8731,1.0,0.0,50.0,5hy6vola,varinfo,30.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,3.0,2.0,618.0,7.0,0.0
5d3587a13e11900001093ae8,80.0,2,1.0,47.0,healthy,2813.0,6120.0,,772.0,,8468.0,3245.0,10117.0,8255.0,47.0,65.0,90.5,0.3658644948225181,9.0,0.0,10.0,0.0,50.0,0.0,5hy6vola,varinfo,28.0,1.0,1.0,8.0,6.0,2.0,1.0,0.0,0.0,7.0,6.0,3.0,1.0,4.0,418.0,0.0,2.0
5bbd1d04df2fb80001733d30,40.0,2,0.0,12.0,healthy,128.0,143.0,,95.0,149.0,115.0,116.0,162.0,94.0,12.0,10.0,24.0,0.3658644948225181,9.0,0.0,10.0,0.0,5.0,57.5,5hy6vola,fullinfo,34.0,1.0,0.0,8.0,7.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,677.5,8.0,8.0
