Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638f2eb45c6b6877d15f9372,5d3587a13e11900001093ae8,APPROVED,2022-12-06T11:59:51.012000Z,2022-12-06T12:15:11.966000Z,2022-12-06T12:15:12.349000,2022-12-06T12:15:12.289335Z,921,C17FQB5L,1243,"Russian, English",Graduate degree (MA/MSc/MPhil/other),28,Female,White,Russian Federation,United Kingdom,Russian Federation,Russian,Yes,Part-Time
638f2eb6a02be913d7b58485,5bec91e66cb00e00015b8a7b,APPROVED,2022-12-06T12:00:42.656000Z,2022-12-06T12:18:13.112000Z,2022-12-06T12:18:14.847000,2022-12-06T12:18:13.570436Z,1051,C17FQB5L,854,English,Technical/community college,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638f2eb7bb3606f46321472e,55b78162fdf99b0416ce544e,APPROVED,2022-12-06T12:02:14.760000Z,2022-12-06T12:20:39.027000Z,2022-12-06T12:20:39.473000,2022-12-06T12:20:39.387733Z,1105,C17FQB5L,1303,English,Doctorate degree (PhD/other),47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f2eba2cbb6d60fa1e5b1a,5ccef4423f15b900199e1ec3,APPROVED,2022-12-06T12:00:22.537000Z,2022-12-06T12:20:26.904000Z,2022-12-06T12:20:27.431000,2022-12-06T12:20:27.323718Z,1205,C17FQB5L,793,English,Undergraduate degree (BA/BSc/other),49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638f2ebb156bce475952e998,5bbd1d04df2fb80001733d30,APPROVED,2022-12-06T11:59:55.381000Z,2022-12-06T12:16:33.124000Z,2022-12-06T12:16:34.854000,2022-12-06T12:16:34.794314Z,998,C17FQB5L,430,English,High school diploma/A-levels,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f2ebb3072b53e955027ab,54258078fdf99b691fb3858e,APPROVED,2022-12-06T11:59:58.871000Z,2022-12-06T12:24:34.973000Z,2022-12-06T12:24:35.415000,2022-12-06T12:24:35.355574Z,1477,C17FQB5L,496,English,Undergraduate degree (BA/BSc/other),33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f2ebc71deb79fdde9e356,604fa685e33606f9a0ee8189,APPROVED,2022-12-06T11:59:56.306000Z,2022-12-06T12:20:27.186000Z,2022-12-06T12:20:27.952000,2022-12-06T12:20:27.891758Z,1231,C17FQB5L,1295,English,Graduate degree (MA/MSc/MPhil/other),26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
638f2ebdd835f0cf9fcb3ea8,59c4f0a2916c4d000109428a,APPROVED,2022-12-06T12:00:09.573000Z,2022-12-06T12:19:25.617000Z,2022-12-06T12:19:26.015000,2022-12-06T12:19:25.952778Z,1157,C17FQB5L,1097,English,High school diploma/A-levels,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
638f2ebe5908a18489e9e304,5ec79cbd44972a1fceed2719,APPROVED,2022-12-06T12:00:02.256000Z,2022-12-06T12:25:04.510000Z,2022-12-06T12:25:05.360000,2022-12-06T12:25:05.252250Z,1503,C17FQB5L,1115,English,Undergraduate degree (BA/BSc/other),62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638f2ebea068f77ca14c1895,62b57d34b7bdc2d0835fab76,APPROVED,2022-12-06T12:00:04.781000Z,2022-12-06T12:20:20.731000Z,2022-12-06T12:20:21.146000,2022-12-06T12:20:21.085994Z,1216,C17FQB5L,234,English,Graduate degree (MA/MSc/MPhil/other),55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638f2ebed835f0cf9fcb3eaa,5eff6065cc8d32014292657f,APPROVED,2022-12-06T12:06:56.888000Z,2022-12-06T12:26:02.573000Z,2022-12-06T12:26:03.114000,2022-12-06T12:26:03.044629Z,1146,C17FQB5L,1252,"English, French",Graduate degree (MA/MSc/MPhil/other),34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
638f2ebf0861074003d01536,5755c957eb80c4000741a9ce,APPROVED,2022-12-06T11:59:59.020000Z,2022-12-06T12:28:50.383000Z,2022-12-06T12:28:50.863000,2022-12-06T12:28:50.746055Z,1732,C17FQB5L,2588,English,Graduate degree (MA/MSc/MPhil/other),40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f2ec08900a141ffcb3e6d,5e2e7ffe484f9b45e086fdc0,APPROVED,2022-12-06T12:00:00.804000Z,2022-12-06T12:17:26.302000Z,2022-12-06T12:17:26.951000,2022-12-06T12:17:26.868657Z,1046,C17FQB5L,59,English,Undergraduate degree (BA/BSc/other),39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f2ec1a1904e602a5f9345,6001718a9125cb02cdaf26a1,APPROVED,2022-12-06T12:08:56.225000Z,2022-12-06T12:31:55.207000Z,2022-12-06T12:31:55.764000,2022-12-06T12:31:55.675148Z,1379,C17FQB5L,656,"English, Polish",Graduate degree (MA/MSc/MPhil/other),30,Female,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
638f2ec37b906acdaf983e77,5f9802a1306ea3045e8c0b43,APPROVED,2022-12-06T12:03:36.622000Z,2022-12-06T12:21:07.342000Z,2022-12-06T12:21:07.816000,2022-12-06T12:21:07.729429Z,1051,C17FQB5L,1146,English,Undergraduate degree (BA/BSc/other),34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
638f2ec3c6438256b1506d41,5c43724ab00b3300018f49bf,APPROVED,2022-12-06T12:00:03.659000Z,2022-12-06T12:30:01.184000Z,2022-12-06T12:30:01.944000,2022-12-06T12:30:01.884013Z,1798,C17FQB5L,327,English,Undergraduate degree (BA/BSc/other),24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
