Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638f43db9a59f502ac048e94,5996d2256b939900012d9f22,APPROVED,2022-12-06T13:32:41.283000Z,2022-12-06T14:51:25.469000Z,2022-12-06T14:51:26.235000Z,2022-12-06T14:51:26.979550Z,4725,C17FQB5L,2348,English,Undergraduate degree (BA/BSc/other),DATA_EXPIRED,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f43de2958eaa59722cedd,5b421b9ac2e3810001763252,APPROVED,2022-12-06T13:30:32.010000Z,2022-12-06T13:57:01.346000Z,2022-12-06T13:57:01.745000,2022-12-06T13:57:01.681918Z,1590,C17FQB5L,1576,English,Undergraduate degree (BA/BSc/other),34,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638f43dff1a35ab2b8e43232,56ce42d9465e580006846f57,APPROVED,2022-12-06T13:30:11.476000Z,2022-12-06T13:44:18.927000Z,2022-12-06T13:44:19.432000,2022-12-06T13:44:19.343975Z,848,C17FQB5L,3517,English,Graduate degree (MA/MSc/MPhil/other),54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f43e022ff7153e6048e68,5c62de3f48fe4e000180e09d,APPROVED,2022-12-06T13:30:13.120000Z,2022-12-06T13:46:45.546000Z,2022-12-06T13:46:46.579000,2022-12-06T13:46:46.516961Z,993,C17FQB5L,1226,English,High school diploma/A-levels,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f43e09ecdf2ea55db570b,5b13da851e55760001ba009a,APPROVED,2022-12-06T13:32:01.869000Z,2022-12-06T13:54:37.760000Z,2022-12-06T13:54:38.376000,2022-12-06T13:54:38.411323Z,1356,C17FQB5L,1909,English,Technical/community college,70,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
638f43e0b610c8893bf3fa8b,5d6fd7cf855c8c0018fbaa30,APPROVED,2022-12-06T13:30:26.808000Z,2022-12-06T13:49:05.757000Z,2022-12-06T13:49:06.478000,2022-12-06T13:49:06.414135Z,1119,C17FQB5L,1097,English,Technical/community college,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f43e104541005ef968aa9,5b52f4933234ab00014ca442,APPROVED,2022-12-06T13:30:11.826000Z,2022-12-06T14:02:14.213000Z,2022-12-06T14:02:14.735000,2022-12-06T14:02:14.627430Z,1923,C17FQB5L,840,English,Undergraduate degree (BA/BSc/other),26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638f43e3c5a76fe32518c86e,5f1ad337b6464a21cea3a611,APPROVED,2022-12-06T13:30:16.061000Z,2022-12-06T13:51:19.090000Z,2022-12-06T13:51:19.553000,2022-12-06T13:51:19.496058Z,1264,C17FQB5L,782,English,Undergraduate degree (BA/BSc/other),48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
638f43e411132eb8ea3f936d,5dc2eae146c7ba2062db9637,APPROVED,2022-12-06T13:30:12.284000Z,2022-12-06T13:45:38.318000Z,2022-12-06T13:45:39.834000,2022-12-06T13:45:38.894617Z,927,C17FQB5L,478,English,High school diploma/A-levels,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638f43e51e7c1bdb7ef3fae4,5fb29577ca2ab98b170f5299,APPROVED,2022-12-06T13:30:13.877000Z,2022-12-06T13:47:13.919000Z,2022-12-06T13:47:14.413000,2022-12-06T13:47:14.331228Z,1021,C17FQB5L,1054,English,Undergraduate degree (BA/BSc/other),34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
